representation,config_id,family,n_seeds,n_train_samples,n_parameters,best_epoch_mean,time_s_mean,config_json,Macro_F1_mean,Macro_F1_std,Rare_Macro_SF_mean,Rare_Macro_SF_std,Min_Rare_F1_mean,Min_Rare_F1_std,Rare_HMean_SF_mean,Rare_HMean_SF_std,F1_N_mean,F1_N_std,F1_S_mean,F1_S_std,F1_V_mean,F1_V_std,F1_F_mean,F1_F_std,Precision_S_mean,Precision_S_std,Precision_F_mean,Precision_F_std,Recall_S_mean,Recall_S_std,Recall_F_mean,Recall_F_std
RAW_1D,AUGMENT_X1,augmentation,2,38820,328228,12.0,198.91887140274048,"{""augment_multiplier"": 1, ""config_id"": ""AUGMENT_X1"", ""family"": ""augmentation"", ""kind"": ""augmentation""}",0.43154575595313316,0.013207797771209416,0.15336399449170224,0.026365133993690823,0.09168609168609165,0.008790760294471503,0.1265643378981215,0.0026952554354550927,0.9344930283463183,0.02233485190243342,0.21504189729731293,0.061521028281853185,0.48496200648280996,0.08322660716978604,0.09168609168609165,0.008790760294471503,0.3174234673801841,0.026098455998779482,0.053252525252525246,0.0038855160501563885,0.1714659685863874,0.07959578950529199,0.33333333333333337,0.07856742013183861
RAW_1D,WGAN_GP_X5,wgan_gp,2,41694,328228,5.0,150.77613496780396,"{""config_id"": ""WGAN_GP_X5"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 5}",0.472804780536482,0.033077384399668376,0.11370976670691638,0.08704964062787225,0.08268136557610242,0.06915162333794471,0.10502967609390054,0.08392682223118096,0.968991300820359,0.007274455301478168,0.14473816783773036,0.10494765791779978,0.6948082879117362,0.049064198958549195,0.08268136557610242,0.06915162333794471,0.7462365591397849,0.2645947955407727,0.052096254031257755,0.04823973327370394,0.08638743455497383,0.07034046514421155,0.2777777777777778,0.0
RAW_1D,FOCAL_A050_G1,focal,2,37862,328228,10.5,183.01355290412903,"{""alpha_power"": 0.5, ""config_id"": ""FOCAL_A050_G1"", ""family"": ""focal"", ""gamma"": 1.0, ""kind"": ""focal""}",0.4255392820959941,0.027592196211324447,0.14579742960817124,0.012265822973839066,0.06430029192177525,0.0014979140783099283,0.10007834796509246,0.000724959806373023,0.9337751183129994,0.012908639212661185,0.22729456729456732,0.026029560025988,0.47678715085463436,0.07292849968495854,0.06430029192177525,0.0014979140783099283,0.46132897603485834,0.32505344407486175,0.035539795114263154,0.002117419833340349,0.19240837696335072,0.09810643822745299,0.3611111111111111,0.11785113019775789
RAW_1D,AUGMENT_X3,augmentation,2,40736,328228,10.5,193.42828261852264,"{""augment_multiplier"": 3, ""config_id"": ""AUGMENT_X3"", ""family"": ""augmentation"", ""kind"": ""augmentation""}",0.456806374005455,0.05163027609190434,0.1323266942513804,0.07394231762572596,0.0636752136752136,0.03565752144444981,0.0967100766269741,0.05411985742973631,0.9581784843675896,0.00932962025288845,0.2009781748275472,0.11222711380700211,0.6043936231514694,0.04930684886327718,0.0636752136752136,0.03565752144444981,0.4023180171277997,0.418039619197037,0.038647342995169046,0.023911823518385632,0.1583769633507853,0.024063843338809177,0.19444444444444442,0.039283710065919346
RAW_1D,CLASS_WEIGHT_P100,class_weight,2,37862,328228,6.5,145.99537348747253,"{""config_id"": ""CLASS_WEIGHT_P100"", ""family"": ""class_weight"", ""kind"": ""class_weight"", ""weight_power"": 1.0}",0.3915006711161344,0.0068534654187887446,0.11851663802138449,0.02622141888293369,0.060795055485320895,0.014144122157741893,0.09040220961826576,0.020677546169126194,0.9019569379227365,0.028064252952173033,0.17623822055744814,0.038298715608125554,0.4270124704990321,0.05309322904288541,0.060795055485320895,0.014144122157741893,0.2945689655172413,0.2763812194741213,0.0345206450469608,0.010726269797903327,0.21465968586387435,0.12217028156626217,0.3333333333333333,0.15713484026367722
RAW_1D,SMOTE_X5,smote,2,41694,328228,4.5,139.71634697914124,"{""config_id"": ""SMOTE_X5"", ""family"": ""smote"", ""kind"": ""smote"", ""smote_factor"": 5}",0.4226014736540422,0.0001761427650767282,0.1475363024818282,0.03343358811145888,0.054674846625766854,0.00943965862491977,0.08743044253401605,0.006915733063819589,0.9296274189199729,0.015656549775065195,0.24039775833788954,0.07630683484783748,0.46570587073253955,0.05191519750815949,0.054674846625766854,0.00943965862491977,0.5646198830409357,0.10709979902182212,0.0312600708991298,0.004557568683123118,0.15314136125654446,0.053680881294266666,0.2222222222222222,0.07856742013183866
RAW_1D,CLASS_WEIGHT_P075,class_weight,2,37862,328228,4.5,128.4176949262619,"{""config_id"": ""CLASS_WEIGHT_P075"", ""family"": ""class_weight"", ""kind"": ""class_weight"", ""weight_power"": 0.75}",0.38125839017715846,0.010292894163668794,0.09653676710174106,0.0041047339835110705,0.046905829596412554,0.009766317874684145,0.0703037553938107,0.009042454587963643,0.9136780411572092,0.021389538285042503,0.14616770460706954,0.017975785841706282,0.4182819853479428,0.011572570402610633,0.046905829596412554,0.009766317874684145,0.42121514565529283,0.44960011356961377,0.0302591463414634,0.0014012786822294595,0.13874345549738215,0.07034046514421154,0.19444444444444442,0.19641855032959657
RAW_1D,FOCAL_A050_G3,focal,2,37862,328228,14.5,217.99940168857574,"{""alpha_power"": 0.5, ""config_id"": ""FOCAL_A050_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",0.3732756450124851,0.010547388586974118,0.092412885021963,0.038413471329155104,0.0416316232127838,0.010110021261708424,0.060057366740109155,0.0014649567446899745,0.9203339825141514,0.0019537782050653707,0.1431941468311422,0.08693696392001865,0.3879428274918628,0.036591166515479105,0.0416316232127838,0.010110021261708424,0.27731497418244405,0.06844696277785099,0.02310730743910465,0.0038171662973862327,0.09947643979057585,0.07034046514421154,0.2777777777777778,0.23570226039551584
RAW_1D,SAMPLER_P075,sampler,2,37862,328228,1.5,101.77961313724518,"{""config_id"": ""SAMPLER_P075"", ""family"": ""sampler"", ""kind"": ""sampler"", ""sampler_power"": 0.75}",0.432367525569783,0.02526230570097438,0.1450805565710077,0.01936745749653101,0.02647498175515415,0.019379802369342565,0.047245588758792645,0.03244807261893312,0.9080288893495887,0.0024604571166935508,0.2636861313868613,0.01935511262371936,0.5312800997875278,0.1422445949136533,0.02647498175515415,0.019379802369342565,0.5566934404283802,0.13981214401774175,0.01369509043927645,0.010232036110192936,0.17670157068062825,0.03146810282767355,0.5277777777777778,0.039283710065919325
RAW_1D,SAMPLER_P100,sampler,2,37862,328228,13.0,203.60187911987305,"{""config_id"": ""SAMPLER_P100"", ""family"": ""sampler"", ""kind"": ""sampler"", ""sampler_power"": 1.0}",0.3885365146478102,0.03298256256229902,0.1246421968367038,0.050123235166502716,0.021644489078583948,0.00575556159830981,0.039492406077156705,0.01103892432166241,0.8825970529548917,0.03584672389149786,0.22763990459482364,0.09449090873469564,0.4222646119629415,0.004162943975306783,0.021644489078583948,0.00575556159830981,0.33937617600231584,0.29235063257481153,0.0110625261834939,0.0030178677559019535,0.2028795811518324,0.0018510648722160948,0.5277777777777778,0.039283710065919325
