candidate_id,model_id,domain,trial_number,roles,seed,n_parameters,best_epoch,time_s,confusion_json,Macro_F1,Rare_Macro_SF,Min_Rare_F1,F1_N,F1_S,F1_V,F1_F,Precision_S,Precision_F,Recall_S,Recall_F
CNN1D_T33_BALANCED,CNN1D,RAW_1D,33,balanced_minrare_all_unique,4001,277684,5,26.548043966293335,"[[10699, 6, 1290, 5], [283, 11, 88, 0], [319, 5, 412, 6], [5, 0, 11, 2]]",0.35641177834466076,0.09174385180453529,0.054455445544554455,0.91813266969879,0.054455445544554455,0.3240267400707825,0.12903225806451613,0.5,0.15384615384615385,0.028795811518324606,0.1111111111111111
CNN1D_T33_BALANCED,CNN1D,RAW_1D,33,balanced_minrare_all_unique,4002,277684,1,17.630566358566284,"[[10368, 32, 1598, 2], [234, 33, 115, 0], [312, 0, 430, 0], [13, 0, 5, 0]]",0.337416169853458,0.0738255033557047,0.0,0.9044358180311424,0.1476510067114094,0.2975778546712803,0.0,0.5076923076923077,0.0,0.08638743455497382,0.0
CNN1D_T33_BALANCED,CNN1D,RAW_1D,33,balanced_minrare_all_unique,4003,277684,7,30.91612410545349,"[[9385, 1, 1372, 1242], [219, 47, 110, 6], [283, 0, 442, 17], [8, 0, 3, 7]]",0.35448522637595364,0.11472868217054263,0.010852713178294573,0.8572733500799269,0.2186046511627907,0.33121019108280253,0.010852713178294573,0.9791666666666666,0.00550314465408805,0.12303664921465969,0.3888888888888889
CNN1D_T33_BALANCED,CNN1D,RAW_1D,33,balanced_minrare_all_unique,4004,277684,1,17.519171953201294,"[[9241, 801, 1957, 1], [190, 62, 130, 0], [211, 41, 481, 9], [13, 0, 5, 0]]",0.3100235108969079,0.04821150855365474,0.0,0.8534749480489494,0.09642301710730948,0.2901960784313726,0.0,0.06858407079646017,0.0,0.16230366492146597,0.0
CNN1D_T33_BALANCED,CNN1D,RAW_1D,33,balanced_minrare_all_unique,4005,277684,1,17.916507959365845,"[[9184, 96, 1850, 870], [179, 32, 111, 60], [312, 2, 416, 12], [12, 0, 6, 0]]",0.3095497519251164,0.0625,0.0,0.8469590077004657,0.125,0.26624,0.0,0.24615384615384617,0.0,0.08376963350785341,0.0
CNN1D_T33_BALANCED,CNN1D,RAW_1D,33,balanced_minrare_all_unique,4006,277684,13,44.396605253219604,"[[9868, 52, 2018, 62], [200, 63, 119, 0], [232, 41, 468, 1], [1, 0, 15, 2]]",0.3614454904163272,0.14119675728938058,0.04819277108433735,0.8849827362001704,0.2342007434944238,0.27840571088637717,0.04819277108433735,0.40384615384615385,0.03076923076923077,0.1649214659685864,0.1111111111111111
CNN1D_T33_BALANCED,CNN1D,RAW_1D,33,balanced_minrare_all_unique,4007,277684,4,24.821901559829712,"[[8654, 17, 3316, 13], [141, 62, 179, 0], [55, 106, 575, 6], [1, 0, 11, 6]]",0.39157138734096686,0.24888232640170624,0.21869488536155202,0.8300800920819146,0.21869488536155202,0.23844080447854032,0.27906976744186046,0.33513513513513515,0.24,0.16230366492146597,0.3333333333333333
CNN1D_T33_BALANCED,CNN1D,RAW_1D,33,balanced_minrare_all_unique,4008,277684,3,22.368521451950073,"[[7869, 1280, 2827, 24], [176, 58, 145, 3], [136, 19, 584, 3], [3, 0, 14, 1]]",0.2895299576539615,0.053760664702913935,0.04081632653061224,0.7797265160523187,0.06670500287521564,0.27087198515769945,0.04081632653061224,0.04274134119380987,0.03225806451612903,0.1518324607329843,0.05555555555555555
CNN1D_T33_BALANCED,CNN1D,RAW_1D,33,balanced_minrare_all_unique,4009,277684,12,42.48991537094116,"[[8760, 73, 3137, 30], [120, 71, 191, 0], [58, 38, 630, 16], [3, 0, 14, 1]]",0.3466168677012432,0.1412711402073104,0.03076923076923077,0.8366362637887398,0.25177304964539005,0.26728892660161224,0.03076923076923077,0.3901098901098901,0.02127659574468085,0.18586387434554974,0.05555555555555555
CNN2D_T19_BOTH,CNN2D,STFT_2D,19,balanced_minrare_all_unique;rare_priority,4000,296070,2,32.74201464653015,"[[9552, 2, 2438, 8], [177, 1, 203, 1], [248, 0, 493, 1], [11, 0, 4, 3]]",0.3304261128462764,0.09937159614578969,0.005194805194805195,0.86883754775332,0.005194805194805195,0.25412371134020617,0.1935483870967742,0.3333333333333333,0.23076923076923078,0.002617801047120419,0.16666666666666666
