domain,metric,candidate_a,model_a,candidate_b,model_b,n_paired_seeds,mean_a,mean_b,mean_difference_a_minus_b,median_difference_a_minus_b,wins_a,ties,wins_b,wilcoxon_p_raw,wilcoxon_p_holm,significant_holm_0_05
RAW_1D,Macro_F1,BILSTM1D_T24_BOTH,BILSTM1D,TRANSFORMER1D_T31_RARE,TRANSFORMER1D,10,0.49877819539867324,0.43894740541248956,0.05983078998618361,0.06055067043043627,9,0,1,0.005859375,0.05859375,False
RAW_1D,Rare_Macro_SF,BILSTM1D_T24_BOTH,BILSTM1D,CNN_BILSTM1D_T16_BOTH,CNN_BILSTM1D,10,0.16573410108146322,0.11598335220639311,0.04975074887507014,0.03954530148973543,7,0,3,0.10546875,0.6328125,False
RAW_1D,Min_Rare_F1,BILSTM1D_T24_BOTH,BILSTM1D,CNN_BILSTM1D_T16_BOTH,CNN_BILSTM1D,10,0.07848443904262613,0.01121656459232633,0.0672678744502998,0.05417447894269087,9,0,1,0.00390625,0.05078125,False
RAW_1D,Macro_F1,BILSTM1D_T24_BOTH,BILSTM1D,CNN_BILSTM1D_T16_BOTH,CNN_BILSTM1D,10,0.49877819539867324,0.4309318757328972,0.067846319665776,0.07401860399164589,8,0,2,0.009765625,0.087890625,False
RAW_1D,Rare_Macro_SF,TRANSFORMER1D_T30_BALANCED,TRANSFORMER1D,TRANSFORMER1D_T31_RARE,TRANSFORMER1D,10,0.242186692874456,0.19741509912530691,0.04477159374914911,0.055341984764116725,8,0,2,0.064453125,0.451171875,False
RAW_1D,Min_Rare_F1,TRANSFORMER1D_T30_BALANCED,TRANSFORMER1D,TRANSFORMER1D_T31_RARE,TRANSFORMER1D,10,0.011244919782546886,0.004296254687782238,0.006948665094764649,0.004099346491436975,6,2,2,0.4609375,1.0,False
RAW_1D,Macro_F1,TRANSFORMER1D_T30_BALANCED,TRANSFORMER1D,TRANSFORMER1D_T31_RARE,TRANSFORMER1D,10,0.44451267040863945,0.43894740541248956,0.0055652649961499545,-0.016101626036498312,4,0,6,0.845703125,1.0,False
RAW_1D,Rare_Macro_SF,TRANSFORMER1D_T30_BALANCED,TRANSFORMER1D,CNN_BILSTM1D_T16_BOTH,CNN_BILSTM1D,10,0.242186692874456,0.11598335220639311,0.12620334066806294,0.11135629942071579,9,0,1,0.00390625,0.05078125,False
RAW_1D,Min_Rare_F1,TRANSFORMER1D_T30_BALANCED,TRANSFORMER1D,CNN_BILSTM1D_T16_BOTH,CNN_BILSTM1D,10,0.011244919782546886,0.01121656459232633,2.8355190220555326e-05,-5.024250486654162e-06,5,0,5,1.0,1.0,False
RAW_1D,Macro_F1,TRANSFORMER1D_T30_BALANCED,TRANSFORMER1D,CNN_BILSTM1D_T16_BOTH,CNN_BILSTM1D,10,0.44451267040863945,0.4309318757328972,0.013580794675742348,0.01885185126739919,8,0,2,0.322265625,0.966796875,False
RAW_1D,Rare_Macro_SF,TRANSFORMER1D_T31_RARE,TRANSFORMER1D,CNN_BILSTM1D_T16_BOTH,CNN_BILSTM1D,10,0.19741509912530691,0.11598335220639311,0.08143174691891383,0.07039065909738673,10,0,0,0.001953125,0.029296875,True
RAW_1D,Min_Rare_F1,TRANSFORMER1D_T31_RARE,TRANSFORMER1D,CNN_BILSTM1D_T16_BOTH,CNN_BILSTM1D,10,0.004296254687782238,0.01121656459232633,-0.006920309904544094,-0.0036650608564880605,2,1,7,0.359375,1.0,False
RAW_1D,Macro_F1,TRANSFORMER1D_T31_RARE,TRANSFORMER1D,CNN_BILSTM1D_T16_BOTH,CNN_BILSTM1D,10,0.43894740541248956,0.4309318757328972,0.008015529679592393,0.0200283192881692,6,0,4,0.625,1.0,False
STFT_2D,Rare_Macro_SF,CNN2D_T19_BOTH,CNN2D,BILSTM2D_T7_BOTH,BILSTM2D,10,0.10381186937516833,0.25611231365795945,-0.15230044428279108,-0.14031086929658818,0,0,10,0.001953125,0.01953125,True
STFT_2D,Min_Rare_F1,CNN2D_T19_BOTH,CNN2D,BILSTM2D_T7_BOTH,BILSTM2D,10,0.049560978015296964,0.1440689161572469,-0.09450793814194994,-0.09455078932676272,2,0,8,0.009765625,0.078125,False
STFT_2D,Macro_F1,CNN2D_T19_BOTH,CNN2D,BILSTM2D_T7_BOTH,BILSTM2D,10,0.3274590545006987,0.48143803588992656,-0.15397898138922791,-0.14810494984632208,0,0,10,0.001953125,0.01953125,True
STFT_2D,Rare_Macro_SF,CNN2D_T19_BOTH,CNN2D,VIT2D_T16_BOTH,VIT2D,10,0.10381186937516833,0.15430449588841236,-0.05049262651324403,-0.07454387821414268,2,0,8,0.064453125,0.322265625,False
STFT_2D,Min_Rare_F1,CNN2D_T19_BOTH,CNN2D,VIT2D_T16_BOTH,VIT2D,10,0.049560978015296964,0.0690622738320474,-0.019501295816750426,-0.0019280410347573265,5,0,5,0.6953125,0.6953125,False
STFT_2D,Macro_F1,CNN2D_T19_BOTH,CNN2D,VIT2D_T16_BOTH,VIT2D,10,0.3274590545006987,0.3474724635256731,-0.020013409024974525,-0.01805991417535005,3,0,7,0.10546875,0.31640625,False
STFT_2D,Rare_Macro_SF,CNN2D_T19_BOTH,CNN2D,CNN_BILSTM2D_T13_BALANCED,CNN_BILSTM2D,10,0.10381186937516833,0.08112107457072254,0.02269079480444578,0.029418394438009747,7,0,3,0.232421875,0.46484375,False
STFT_2D,Min_Rare_F1,CNN2D_T19_BOTH,CNN2D,CNN_BILSTM2D_T13_BALANCED,CNN_BILSTM2D,10,0.049560978015296964,0.00707035093791564,0.042490627077381334,0.04394120227038512,9,0,1,0.013671875,0.095703125,False
STFT_2D,Macro_F1,CNN2D_T19_BOTH,CNN2D,CNN_BILSTM2D_T13_BALANCED,CNN_BILSTM2D,10,0.3274590545006987,0.3737172618425457,-0.04625820734184706,-0.0559222653485085,1,0,9,0.02734375,0.13671875,False
STFT_2D,Rare_Macro_SF,CNN2D_T19_BOTH,CNN2D,CNN_BILSTM2D_T14_RARE,CNN_BILSTM2D,10,0.10381186937516833,0.1576699040058221,-0.05385803463065377,-0.05726776510614048,3,0,7,0.10546875,0.3359375,False
STFT_2D,Min_Rare_F1,CNN2D_T19_BOTH,CNN2D,CNN_BILSTM2D_T14_RARE,CNN_BILSTM2D,10,0.049560978015296964,0.033380891382190504,0.016180086633106473,0.015075733762492351,7,0,3,0.232421875,0.46484375,False
STFT_2D,Macro_F1,CNN2D_T19_BOTH,CNN2D,CNN_BILSTM2D_T14_RARE,CNN_BILSTM2D,10,0.3274590545006987,0.431233643597302,-0.10377458909660327,-0.09982443070630434,0,0,10,0.001953125,0.01953125,True
STFT_2D,Rare_Macro_SF,BILSTM2D_T7_BOTH,BILSTM2D,VIT2D_T16_BOTH,VIT2D,10,0.25611231365795945,0.15430449588841236,0.10180781776954706,0.12771342666705954,9,0,1,0.009765625,0.078125,False
STFT_2D,Min_Rare_F1,BILSTM2D_T7_BOTH,BILSTM2D,VIT2D_T16_BOTH,VIT2D,10,0.1440689161572469,0.0690622738320474,0.07500664232519952,0.06666981072753568,9,0,1,0.01953125,0.09765625,False
STFT_2D,Macro_F1,BILSTM2D_T7_BOTH,BILSTM2D,VIT2D_T16_BOTH,VIT2D,10,0.48143803588992656,0.3474724635256731,0.13396557236425338,0.1187317846957571,10,0,0,0.001953125,0.01953125,True
STFT_2D,Rare_Macro_SF,BILSTM2D_T7_BOTH,BILSTM2D,CNN_BILSTM2D_T13_BALANCED,CNN_BILSTM2D,10,0.25611231365795945,0.08112107457072254,0.17499123908723688,0.16453165014287247,10,0,0,0.001953125,0.01953125,True
