metric,candidate_a,candidate_b,n_pairs,mean_a,mean_b,mean_diff_a_minus_b,CI95_low,CI95_high,cohens_dz,p_ttest,p_wilcoxon,p_ttest_holm,p_wilcoxon_holm
Rare_Macro_SF,DWT_T39_BALANCED,SWT_T0_BALANCED,10,0.031877903727728626,0.05971966384806936,-0.02784176012034074,-0.06053825366495534,0.0048547334242738625,-0.6091416301194467,0.08618558885367661,0.10546875,0.7756702996830895,0.923828125
Rare_Macro_SF,SWT_T25_RARE,SWT_T0_BALANCED,10,0.01403210775980811,0.05971966384806936,-0.04568755608826125,-0.07710926320327155,-0.01426584897325095,-1.0401379099436179,0.0093902559207163,0.0078125,0.1408538388107445,0.125
Macro_F1,STFT_T29_BALANCED,CWT_T42_RARE,10,0.3168139311328554,0.3148136899399562,0.002000241192899194,-0.014101767096247702,0.018102249482046088,0.0888638438937609,0.7850545151412675,1.0,1.0,1.0
Macro_F1,STFT_T29_BALANCED,CWT_T39_BALANCED,10,0.3168139311328554,0.3643744516770988,-0.04756052054424344,-0.06278380173331002,-0.03233723935517684,-2.2349154824887623,5.8726004056310985e-05,0.001953125,0.0011157940770699086,0.041015625
Macro_F1,STFT_T29_BALANCED,DWT_T7_RARE,10,0.3168139311328554,0.3406471765017462,-0.023833245368890817,-0.04384462192228779,-0.0038218688154938486,-0.8519792039921671,0.024626728821569153,0.083984375,0.24626728821569155,0.755859375
Macro_F1,STFT_T29_BALANCED,DWT_T39_BALANCED,10,0.3168139311328554,0.33072190200659335,-0.013907970873737963,-0.033286634869827456,0.00547069312235153,-0.5134080974220321,0.1389219253975833,0.130859375,0.9724534777830831,1.0
Macro_F1,STFT_T29_BALANCED,SWT_T25_RARE,10,0.3168139311328554,0.32170262550276396,-0.0048886943699085915,-0.02167978655178126,0.011902397811964074,-0.20827479480792166,0.5266265171652731,0.625,1.0,1.0
Macro_F1,STFT_T29_BALANCED,SWT_T0_BALANCED,10,0.3168139311328554,0.3559307677058577,-0.039116836573002335,-0.052112533980781715,-0.026121139165222955,-2.1532125829710242,7.825168367535017e-05,0.001953125,0.001330278622480953,0.041015625
Macro_F1,CWT_T42_RARE,CWT_T39_BALANCED,10,0.3148136899399562,0.3643744516770988,-0.049560761737142627,-0.06003262789028448,-0.03908889558400077,-3.3856079380913933,2.021972765408429e-06,0.001953125,4.246142807357701e-05,0.041015625
Macro_F1,CWT_T42_RARE,DWT_T7_RARE,10,0.3148136899399562,0.3406471765017462,-0.02583348656179001,-0.03689914495858208,-0.014767828164997943,-1.6700464043866434,0.0005063309211465149,0.001953125,0.008101294738344238,0.041015625
Macro_F1,CWT_T42_RARE,DWT_T39_BALANCED,10,0.3148136899399562,0.33072190200659335,-0.015908212066637156,-0.02383459391935569,-0.007981830213918623,-1.435718033177128,0.001405633881983831,0.005859375,0.019678874347773632,0.08203125
Macro_F1,CWT_T42_RARE,SWT_T25_RARE,10,0.3148136899399562,0.32170262550276396,-0.006888935562807785,-0.021418220845671687,0.007640349720056115,-0.3391803198726815,0.31137497963552324,0.232421875,1.0,1.0
Macro_F1,CWT_T42_RARE,SWT_T0_BALANCED,10,0.3148136899399562,0.3559307677058577,-0.041117077765901525,-0.0544291353777948,-0.02780502015400825,-2.2095296152879285,6.415183288822204e-05,0.001953125,0.0011547329919879968,0.041015625
Macro_F1,CWT_T39_BALANCED,DWT_T7_RARE,10,0.3643744516770988,0.3406471765017462,0.02372727517535262,0.008112544559140853,0.03934200579156439,1.0870165213962604,0.007420373102948242,0.013671875,0.08162410413243067,0.150390625
