representation,architecture_candidate_id,config_id,family,config_json,seed,method_data_seed,wgan_pool_seed,wgan_quality_attempt,n_parameters,n_train_samples,train_class_counts_json,best_epoch,time_s,confusion_json,Macro_F1,Rare_Macro_SF,Min_Rare_F1,Rare_HMean_SF,F1_N,F1_S,F1_V,F1_F,Precision_S,Precision_F,Recall_S,Recall_F
RAW_1D,BILSTM1D_T24_BOTH,SAMPLER_P050,sampler,"{""config_id"": ""SAMPLER_P050"", ""family"": ""sampler"", ""kind"": ""sampler"", ""sampler_power"": 0.5}",6100,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",2,113.85598111152649,"[[11883, 3, 61, 53], [256, 57, 69, 0], [80, 22, 613, 27], [8, 0, 5, 5]]",0.5366418672418726,0.17138851690659523,0.0970873786407767,0.1391771456476621,0.9809716432079911,0.24568965517241378,0.8228187919463087,0.0970873786407767,0.6951219512195121,0.058823529411764705,0.14921465968586387,0.2777777777777778
RAW_1D,BILSTM1D_T24_BOTH,SAMPLER_P050,sampler,"{""config_id"": ""SAMPLER_P050"", ""family"": ""sampler"", ""kind"": ""sampler"", ""sampler_power"": 0.5}",6101,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",3,123.33273506164551,"[[11558, 25, 278, 139], [173, 34, 174, 1], [41, 31, 659, 11], [3, 0, 5, 10]]",0.4843615893279647,0.12789982009279424,0.11173184357541899,0.12585600592263557,0.9722818086225026,0.1440677966101695,0.7093649085037675,0.11173184357541899,0.37777777777777777,0.062111801242236024,0.08900523560209424,0.5555555555555556
RAW_1D,BILSTM1D_T24_BOTH,SAMPLER_P050,sampler,"{""config_id"": ""SAMPLER_P050"", ""family"": ""sampler"", ""kind"": ""sampler"", ""sampler_power"": 0.5}",6102,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",2,113.12097454071045,"[[10596, 10, 1249, 145], [246, 52, 84, 0], [26, 25, 640, 51], [5, 0, 5, 8]]",0.4227289859560917,0.14691023646247528,0.07207207207207207,0.1087866108786611,0.9265072356052988,0.22174840085287847,0.47058823529411764,0.07207207207207207,0.5977011494252874,0.0392156862745098,0.13612565445026178,0.4444444444444444
RAW_1D,BILSTM1D_T24_BOTH,SAMPLER_P050,sampler,"{""config_id"": ""SAMPLER_P050"", ""family"": ""sampler"", ""kind"": ""sampler"", ""sampler_power"": 0.5}",6103,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",2,113.79113745689392,"[[10684, 16, 1168, 132], [206, 23, 153, 0], [133, 16, 577, 16], [5, 0, 5, 8]]",0.39035648023236724,0.09860859044162129,0.09195402298850575,0.09815950920245398,0.9279138440159805,0.10526315789473684,0.43629489603024574,0.09195402298850575,0.41818181818181815,0.05128205128205128,0.060209424083769635,0.4444444444444444
RAW_1D,BILSTM1D_T24_BOTH,SAMPLER_P050,sampler,"{""config_id"": ""SAMPLER_P050"", ""family"": ""sampler"", ""kind"": ""sampler"", ""sampler_power"": 0.5}",6104,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",4,132.46878099441528,"[[11585, 251, 129, 35], [226, 68, 88, 0], [48, 26, 611, 57], [7, 0, 3, 8]]",0.5175900125001746,0.16133168582286156,0.13559322033898305,0.15722543352601154,0.9708371742227436,0.18707015130674004,0.7768595041322314,0.13559322033898305,0.19710144927536233,0.08,0.17801047120418848,0.4444444444444444
RAW_1D,BILSTM1D_T24_BOTH,SAMPLER_P050,sampler,"{""config_id"": ""SAMPLER_P050"", ""family"": ""sampler"", ""kind"": ""sampler"", ""sampler_power"": 0.5}",6105,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",1,103.65367531776428,"[[11924, 5, 67, 4], [236, 40, 106, 0], [81, 5, 646, 10], [5, 0, 9, 4]]",0.5534805662343149,0.2037037037037037,0.18518518518518517,0.202020202020202,0.9835849212241194,0.18518518518518517,0.8229299363057325,0.2222222222222222,0.8,0.2222222222222222,0.10471204188481675,0.2222222222222222
RAW_1D,BILSTM1D_T24_BOTH,SAMPLER_P050,sampler,"{""config_id"": ""SAMPLER_P050"", ""family"": ""sampler"", ""kind"": ""sampler"", ""sampler_power"": 0.5}",6106,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",7,160.90880370140076,"[[10424, 134, 1425, 17], [153, 86, 143, 0], [37, 24, 670, 11], [10, 0, 5, 3]]",0.44190496963635223,0.19860468148920912,0.12244897959183673,0.16940249507550886,0.9214992927864215,0.2747603833865815,0.4489112227805695,0.12244897959183673,0.3524590163934426,0.0967741935483871,0.225130890052356,0.16666666666666666
RAW_1D,BILSTM1D_T24_BOTH,SAMPLER_P050,sampler,"{""config_id"": ""SAMPLER_P050"", ""family"": ""sampler"", ""kind"": ""sampler"", ""sampler_power"": 0.5}",6107,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",1,104.03590130805969,"[[11824, 12, 89, 75], [156, 104, 118, 4], [157, 6, 565, 14], [8, 0, 5, 5]]",0.5555579512065223,0.2494526546250684,0.08620689655172414,0.1426220515633571,0.9794160281631807,0.4126984126984127,0.7439104674127716,0.08620689655172414,0.8524590163934426,0.05102040816326531,0.27225130890052357,0.2777777777777778
RAW_1D,BILSTM1D_T24_BOTH,SAMPLER_P050,sampler,"{""config_id"": ""SAMPLER_P050"", ""family"": ""sampler"", ""kind"": ""sampler"", ""sampler_power"": 0.5}",6108,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",9,180.10978150367737,"[[10534, 82, 1318, 66], [223, 25, 134, 0], [66, 35, 632, 9], [8, 1, 5, 4]]",0.38674452325702896,0.08885616102110946,0.08247422680412371,0.08839779005524863,0.9227804301169462,0.09523809523809523,0.4464853408689509,0.08247422680412371,0.17482517482517482,0.05063291139240506,0.06544502617801047,0.2222222222222222
RAW_1D,BILSTM1D_T24_BOTH,SAMPLER_P050,sampler,"{""config_id"": ""SAMPLER_P050"", ""family"": ""sampler"", ""kind"": ""sampler"", ""sampler_power"": 0.5}",6109,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",2,113.12018585205078,"[[10763, 2, 1187, 48], [186, 38, 158, 0], [59, 15, 607, 61], [5, 0, 7, 6]]",0.4122465292892986,0.13206930369401765,0.09022556390977443,0.11881188118811882,0.9353843479772302,0.17391304347826086,0.4494631617919289,0.09022556390977443,0.6909090909090909,0.05217391304347826,0.09947643979057591,0.3333333333333333
