number,values_0,values_1,params_activation,params_base_channels,params_blocks_per_stage,params_dropout,params_head_dim,params_kernel_size,params_learning_rate,params_pool_bins,params_rr_dim,params_weight_decay,user_attrs_F1_F_mean,user_attrs_F1_F_std,user_attrs_F1_N_mean,user_attrs_F1_N_std,user_attrs_F1_S_mean,user_attrs_F1_S_std,user_attrs_F1_V_mean,user_attrs_F1_V_std,user_attrs_Macro_F1_mean,user_attrs_Macro_F1_std,user_attrs_Min_Rare_F1_mean,user_attrs_Min_Rare_F1_std,user_attrs_Precision_F_mean,user_attrs_Precision_F_std,user_attrs_Precision_S_mean,user_attrs_Precision_S_std,user_attrs_Rare_Macro_SF_mean,user_attrs_Rare_Macro_SF_std,user_attrs_Recall_F_mean,user_attrs_Recall_F_std,user_attrs_Recall_S_mean,user_attrs_Recall_S_std,user_attrs_best_epoch_mean,user_attrs_domain,user_attrs_model_id,user_attrs_n_parameters,user_attrs_time_s,state
27,0.09475042367884415,0.33538368636032134,relu,28,1,0.6,128,5,0.00041081473278887717,6,16,5.311482020457791e-05,0.007905138339920948,0.011179553852751737,0.8531254694610242,0.027879137516326688,0.18159570901776734,0.04344254199311252,0.29890842862257294,0.07484588398601295,0.33538368636032134,0.012025731414118869,0.007905138339920948,0.011179553852751737,0.00425531914893617,0.006017930052651469,0.39526057853215396,0.23551913050159154,0.09475042367884415,0.027311047922932125,0.05555555555555555,0.07856742013183861,0.12172774869109948,0.012957454105512654,4.0,RAW_1D,CNN1D,262864,38.52694058418274,COMPLETE
28,,,relu,32,2,0.30000000000000004,128,7,,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,652740,,PRUNED
29,0.03405178189894388,0.28879311943054464,gelu,28,2,0.30000000000000004,128,5,0.00046208737959756445,2,32,1.5884204511928577e-05,0.0016750418760469012,0.0023688669386484006,0.7776946592295161,0.019609405867964187,0.06642852192184086,0.0022273374805462406,0.3093742546947748,0.16578188398573723,0.28879311943054464,0.046383204827950913,0.0016750418760469012,0.0023688669386484006,0.0008635578583765112,0.0012212552352099265,0.04419494265928415,0.009596074706273354,0.03405178189894388,7.07647290510817e-05,0.027777777777777776,0.039283710065919304,0.17277486910994766,0.09995750309966903,7.5,RAW_1D,CNN1D,373072,61.095083236694336,COMPLETE
30,0.09379062613408842,0.32137362280886494,gelu,32,1,0.2,64,11,0.0009244859054301187,4,16,1.860626257342407e-07,0.027466537459875234,0.03558874296929447,0.8192525233461495,0.029516612765846464,0.1601147148083016,0.0627150706432696,0.2786607156211335,0.04388951720349119,0.32137362280886494,0.006224420910806613,0.027466537459875234,0.03558874296929447,0.016212544065804937,0.021266174125726442,0.2981307907778496,0.0769803277730022,0.09379062613408842,0.049151906806282036,0.1111111111111111,0.07856742013183861,0.1099476439790576,0.04812768667761843,11.0,RAW_1D,CNN1D,519348,70.82806992530823,COMPLETE
31,,,gelu,36,2,0.30000000000000004,128,11,,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1255288,,PRUNED
32,0.0485753231334754,0.2514890708237579,relu,28,1,0.30000000000000004,128,11,0.0002086545378294254,6,32,1.2115343134790554e-06,0.00041562759767248546,0.0005877861855249772,0.6671327891108082,0.08561348059854519,0.09673501866927833,0.0103566450757371,0.24167284791727253,0.009076485210121379,0.2514890708237579,0.02611470617471968,0.00041562759767248546,0.0005877861855249772,0.00020938023450586265,0.0002961083673310501,0.2641081254769651,0.25137976946146656,0.0485753231334754,0.004884429445106064,0.027777777777777776,0.039283710065919304,0.09031413612565445,0.05738301103869888,1.5,RAW_1D,CNN1D,462560,29.335214614868164,COMPLETE
33,0.10858731546231547,0.40791148402813054,relu,32,1,0.2,64,5,0.0015451786399415166,6,16,6.680947088924947e-05,0.06391608391608392,0.018394665916181517,0.9259443859370384,0.022436542426738454,0.15325854700854702,0.010500837883005355,0.4885269192508528,0.15956372959565804,0.40791148402813054,0.038276192055802405,0.06391608391608392,0.018394665916181517,0.07611867704280156,0.06912862987280936,0.1703090013434841,0.08657545632619888,0.10858731546231547,0.014447751899593438,0.2222222222222222,0.23570226039551584,0.17146596858638743,0.06848940027199545,3.0,RAW_1D,CNN1D,277684,38.56488227844238,COMPLETE
34,0.053790120291083814,0.36146917486883845,gelu,28,1,0.30000000000000004,128,7,0.0010690125057163517,4,16,4.27461800991352e-06,0.0013831258644536654,0.001956035355979385,0.8945759748257706,0.08627810563907831,0.10619711471771395,0.05241261042128335,0.4437204840674156,0.15265694260939597,0.36146917486883845,0.07234790582844457,0.0013831258644536654,0.001956035355979385,0.0007002801120448179,0.000990345631913932,0.3816205533596838,0.32113268442029375,0.053790120291083814,0.02522828753265198,0.05555555555555555,0.07856742013183861,0.0850785340314136,0.06848940027199545,3.0,RAW_1D,CNN1D,300048,35.710769176483154,COMPLETE
35,0.06518578382435077,0.2990897284516368,relu,28,1,0.4,128,7,0.000852368334324566,6,32,0.0007721054373704757,0.0004409171075837742,0.0006235509534272905,0.7491662291870194,0.01321072980067937,0.12993065054111774,0.024318514116971657,0.31682111697082627,0.018804489834750845,0.2990897284516368,0.0017682886412578288,0.0004409171075837742,0.0006235509534272905,0.00022222222222222223,0.00031426968052735446,0.44106205018478895,0.2301088591567971,0.06518578382435077,0.012471032535199475,0.027777777777777776,0.039283710065919304,0.07722513089005237,0.009255324361080465,2.0,RAW_1D,CNN1D,330848,32.073065757751465,COMPLETE
36,,,gelu,28,2,0.30000000000000004,64,11,,6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,780176,,PRUNED
37,0.09089258679770008,0.29255554187388516,relu,32,1,0.30000000000000004,64,11,0.00027425860922756135,2,32,1.0051206133989504e-06,0.06586578293289147,0.07322978264152315,0.7514087039634763,0.02431342210498762,0.1159193906625087,0.04286060498666804,0.2370282899366643,0.01325359947419775,0.29255554187388516,0.016984049808510135,0.04984843663646564,0.050577834275891284,0.06609712230215828,0.08330124850309148,0.40826330532212884,0.46645279263146205,0.09089258679770008,0.015184588827427554,0.2222222222222222,0.15713484026367722,0.08769633507853403,0.009255324361080465,12.0,RAW_1D,CNN1D,504068,75.8113739490509,COMPLETE
