number,values_0,values_1,params_activation,params_base_channels,params_blocks_per_stage,params_dropout,params_head_dim,params_hidden_size,params_kernel_size,params_learning_rate,params_lstm_dropout,params_n_layers,params_pooling,params_rr_dim,params_weight_decay,user_attrs_F1_F_mean,user_attrs_F1_F_std,user_attrs_F1_N_mean,user_attrs_F1_N_std,user_attrs_F1_S_mean,user_attrs_F1_S_std,user_attrs_F1_V_mean,user_attrs_F1_V_std,user_attrs_Macro_F1_mean,user_attrs_Macro_F1_std,user_attrs_Min_Rare_F1_mean,user_attrs_Min_Rare_F1_std,user_attrs_Precision_F_mean,user_attrs_Precision_F_std,user_attrs_Precision_S_mean,user_attrs_Precision_S_std,user_attrs_Rare_Macro_SF_mean,user_attrs_Rare_Macro_SF_std,user_attrs_Recall_F_mean,user_attrs_Recall_F_std,user_attrs_Recall_S_mean,user_attrs_Recall_S_std,user_attrs_best_epoch_mean,user_attrs_domain,user_attrs_model_id,user_attrs_n_parameters,user_attrs_time_s,state
14,0.22439781200692901,0.4077206093987735,gelu,16,2,0.2,64,64,5,0.0008213723823045083,0.30000000000000004,2,mean,32,1.4940938661398852e-05,0.08494208494208494,0.08190426036909816,0.9008674130456087,0.01182054535076703,0.3638535390717731,0.11119160376667227,0.2812194005356274,0.02270396313045007,0.4077206093987735,0.010042690294314286,0.08494208494208494,0.08190426036909816,0.1076923076923077,0.1305427903729011,0.5444286053694465,0.1960545530160848,0.22439781200692901,0.014643671698787053,0.1111111111111111,0.0,0.27356020942408377,0.0758936597608598,5.0,STFT_2D,CNN_BILSTM2D,290004,71.66755986213684,COMPLETE
15,,,relu,16,2,0.6,128,80,5,,,1,attention,16,,,,,,,,,,,,,,,,,,,,,,,,,,,226149,,PRUNED
16,0.031337177589028285,0.3320037720933895,relu,20,2,0.30000000000000004,128,80,3,0.00013212216131574034,0.2,2,mean,16,3.326320368800261e-07,0.012195121951219513,0.017246506858208478,0.9067499649893487,0.021590533941725776,0.05047923322683706,0.07138841624758754,0.3585907682061528,0.03908658209640387,0.3320037720933895,0.026532742815118512,0.012195121951219513,0.017246506858208478,0.006578947368421052,0.009304036594559835,0.033389687235841084,0.04722014853232228,0.031337177589028285,0.04431746155289801,0.08333333333333333,0.11785113019775792,0.10340314136125654,0.14623412490507134,5.0,STFT_2D,CNN_BILSTM2D,330592,66.34088563919067,COMPLETE
17,0.03951950340280335,0.30626341570493654,relu,16,2,0.2,128,80,3,0.00016478949603755943,0.0,2,attention,32,8.287147543102527e-07,0.0053475935828877,0.0075626393709791176,0.8415767351602431,0.08388588527319019,0.07369141322271901,0.0276180716688386,0.30443792085389615,0.12721382330533743,0.30626341570493654,0.043979749384677455,0.0053475935828877,0.0075626393709791176,0.0029585798816568047,0.00418406379400324,0.14417344173441735,0.1418046119452697,0.03951950340280335,0.01759035551990886,0.027777777777777776,0.039283710065919304,0.06413612565445026,0.00925532436108047,6.0,STFT_2D,CNN_BILSTM2D,301237,66.86140704154968,COMPLETE
18,,,relu,16,1,0.2,64,80,3,,,1,attention,16,,,,,,,,,,,,,,,,,,,,,,,,,,,109413,,PRUNED
19,0.18839109939677645,0.47627173026008635,relu,16,1,0.30000000000000004,128,80,3,0.0028628972056417537,0.1,2,mean,32,9.72601754873976e-05,0.017874778678387444,0.014558247325595642,0.93552521131351,0.04572746427816345,0.3589074201151654,0.11018941785175694,0.5927795109332826,0.02721278808545067,0.47627173026008635,0.005672729540636774,0.017874778678387444,0.014558247325595642,0.009335330533461002,0.007780246018193865,0.685077519379845,0.026036877601830283,0.18839109939677645,0.04781558526308065,0.3055555555555556,0.03928371006591928,0.24738219895287955,0.09810643822745291,4.0,STFT_2D,CNN_BILSTM2D,277844,51.34785342216492,COMPLETE
20,,,gelu,20,2,0.6,128,64,3,,0.1,2,attention,16,,,,,,,,,,,,,,,,,,,,,,,,,,,247265,,PRUNED
21,0.02096297818731279,0.29730577772598527,relu,20,1,0.4,128,80,3,0.00010969599412562158,0.2,2,attention,16,1.3738334440381752e-06,0.002002002002002002,0.002831258383129319,0.8220656483441289,0.0035271561119010683,0.039923954372623575,0.05646099773732889,0.32523150618518665,0.08853145677593195,0.29730577772598527,0.036074139196122255,0.002002002002002002,0.002831258383129319,0.00101010101010101,0.0014284985478516111,0.07291666666666667,0.10311973892303819,0.02096297818731279,0.029646128060229107,0.1111111111111111,0.15713484026367722,0.0274869109947644,0.038872362316537956,9.0,STFT_2D,CNN_BILSTM2D,294513,75.79004406929016,COMPLETE
22,0.015222177685892298,0.32830836877061415,relu,12,1,0.6,128,112,5,0.00020941002693072985,0.2,2,mean,16,0.00024339736012619963,0.002737226277372263,0.0038710225247438734,0.8692178840337775,0.026822211710107104,0.027707129094412333,0.017384744755183715,0.41357123567689436,0.11880171882129803,0.32830836877061415,0.028308818597779624,0.002737226277372263,0.0038710225247438734,0.0013914656771799629,0.0019678296322445665,0.02682205586193418,0.0033587917599252216,0.015222177685892298,0.010627883639963793,0.08333333333333333,0.11785113019775792,0.060209424083769635,0.07034046514421154,9.5,STFT_2D,CNN_BILSTM2D,495032,77.4615957736969,COMPLETE
23,0.1632256554307116,0.448623278211007,relu,24,2,0.2,128,64,5,0.0017523281374799055,0.1,2,attention,16,0.0005515294505920094,0.0056179775280898875,0.007945020013331994,0.9623678670785176,0.021119850195109906,0.3208333333333333,0.07660323462854265,0.5056739349040873,0.18760683028044203,0.448623278211007,0.07331873377935659,0.0056179775280898875,0.007945020013331994,0.003125,0.004419417382415923,0.3708249970577851,0.09002566975257231,0.1632256554307116,0.042274127320937334,0.027777777777777776,0.039283710065919304,0.28272251308900526,0.06663833539977936,9.0,STFT_2D,CNN_BILSTM2D,468029,119.34957265853882,COMPLETE
24,0.03942926676087298,0.38470899820628235,relu,16,2,0.2,128,112,3,0.0001439256446917474,0.30000000000000004,2,attention,32,8.835522886995981e-07,0.022727272727272728,0.03214121732666125,0.9469909050852514,0.01286173668887313,0.05613126079447323,0.07938159028864523,0.5129865542181321,0.12506473831606832,0.38470899820628235,0.05593145231062541,0.022727272727272728,0.03214121732666125,0.019230769230769232,0.02719641466102106,0.04188144329896907,0.059229305125161835,0.03942926676087298,0.055761403807653244,0.027777777777777776,0.039283710065919304,0.08507853403141362,0.12031921669404605,5.5,STFT_2D,CNN_BILSTM2D,515317,65.13674235343933,COMPLETE
25,,,gelu,12,1,0.2,64,96,5,,,1,mean,16,,,,,,,,,,,,,,,,,,,,,,,,,,,144504,,PRUNED
26,,,gelu,12,2,0.2,64,80,5,,,1,mean,16,,,,,,,,,,,,,,,,,,,,,,,,,,,152744,,PRUNED
27,0.03214288673975917,0.3387194963775031,relu,12,1,0.5,128,80,5,0.00017574845777197176,0.2,2,attention,32,6.891102523759595e-07,0.0013698630136986301,0.0019372788525658837,0.8830686793998691,0.10930918798431147,0.06291591046581972,0.0889765338698136,0.4075235326306248,0.09972910629699777,0.3387194963775031,0.020333432758766482,0.0013698630136986301,0.0019372788525658837,0.0006906077348066298,0.0009766668248432976,0.040912667191188044,0.05785924881463489,0.03214288673975917,0.045456906361189736,0.08333333333333333,0.11785113019775792,0.13612565445026178,0.19251074671047366,4.5,STFT_2D,CNN_BILSTM2D,285353,55.58888053894043,COMPLETE
28,0.084662389568045,0.39942403556543804,relu,12,1,0.6,64,96,3,0.000820591520801455,0.4,2,attention,32,5.454389808533275e-05,0.02259138047695983,0.024059421252518788,0.8954182563246291,0.03860801480578653,0.14673339865913018,0.0528952340341265,0.532953106801033,0.12885800918817286,0.39942403556543804,0.029771451790998476,0.02259138047695983,0.024059421252518788,0.013454662531984478,0.01504966900802033,0.14301850942744415,0.08145696810674137,0.084662389568045,0.014417906390803854,0.2222222222222222,0.15713484026367722,0.16099476439790578,0.012957454105512665,7.0,STFT_2D,CNN_BILSTM2D,345481,67.53455686569214,COMPLETE
29,0.2227334681998699,0.4561267729505261,relu,16,1,0.2,128,96,5,0.0013097745792045425,0.4,2,attention,16,0.0007689006027135491,0.010309278350515464,0.014579521261578299,0.9623028784516732,0.007551579837806438,0.43515765804922435,0.07503510301121873,0.41673727695069157,0.2575655675474233,0.4561267729505261,0.0849071529956034,0.010309278350515464,0.014579521261578299,0.0053533190578158455,0.007570736415273527,0.6208756044372807,0.0892180097718781,0.2227334681998699,0.044807312136398526,0.1388888888888889,0.19641855032959654,0.33507853403141363,0.06293620565534715,8.0,STFT_2D,CNN_BILSTM2D,415685,72.01010847091675,COMPLETE
30,,,gelu,16,2,0.4,128,64,3,,0.1,2,attention,16,,,,,,,,,,,,,,,,,,,,,,,,,,,216645,,PRUNED
31,0.04838709677419355,0.30758405818983836,gelu,12,2,0.4,64,80,3,0.0003147069027788184,0.2,2,attention,16,1.1017274968687712e-06,0.0967741935483871,0.1368593770038479,0.8761255870746762,0.005974186972570292,0.0,0.0,0.25743645213628985,0.03441839389226029,0.30758405818983836,0.04431298946716964,0.0,0.0,0.11538461538461539,0.16317848796612636,0.0,0.0,0.04838709677419355,0.06842968850192395,0.08333333333333333,0.11785113019775792,0.0,0.0,2.5,STFT_2D,CNN_BILSTM2D,261705,48.73085927963257,COMPLETE
