number,values_0,values_1,params_dropout,params_head_dim,params_hidden_size,params_learning_rate,params_lstm_dropout,params_n_layers,params_rr_dim,params_weight_decay,user_attrs_F1_F_mean,user_attrs_F1_F_std,user_attrs_F1_N_mean,user_attrs_F1_N_std,user_attrs_F1_S_mean,user_attrs_F1_S_std,user_attrs_F1_V_mean,user_attrs_F1_V_std,user_attrs_Macro_F1_mean,user_attrs_Macro_F1_std,user_attrs_Min_Rare_F1_mean,user_attrs_Min_Rare_F1_std,user_attrs_Precision_F_mean,user_attrs_Precision_F_std,user_attrs_Precision_S_mean,user_attrs_Precision_S_std,user_attrs_Rare_Macro_SF_mean,user_attrs_Rare_Macro_SF_std,user_attrs_Recall_F_mean,user_attrs_Recall_F_std,user_attrs_Recall_S_mean,user_attrs_Recall_S_std,user_attrs_best_epoch_mean,user_attrs_domain,user_attrs_model_id,user_attrs_n_parameters,user_attrs_time_s,state
37,,,0.6,64,120,,0.30000000000000004,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,829908,,PRUNED
38,,,0.6,64,120,,0.1,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,831012,,PRUNED
39,,,0.4,64,120,,,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,135972,,PRUNED
40,,,0.6,128,96,,,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,105508,,PRUNED
41,,,0.2,128,128,,,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,171812,,PRUNED
42,0.1107303934631558,0.4308730812591829,0.4,128,104,0.00026405207827362665,0.2,2,32,0.0004355630406279623,0.1724137931034483,0.24382992454708538,0.8828882830139784,0.12029475715730445,0.04904699382286333,0.029385155310273414,0.6191432550964414,0.08629940198993336,0.4308730812591829,0.0019626525223935395,0.014134275618374558,0.019988884273824666,0.22727272727272727,0.3214121732666125,0.3763838927112073,0.5097648928597323,0.1107303934631558,0.10722238461840597,0.1388888888888889,0.19641855032959654,0.08115183246073299,0.06293620565534716,11.0,RAW_1D,BILSTM1D,381796,109.01670217514038,COMPLETE
43,0.009292106210741101,0.41720594269986633,0.6,64,128,0.000765471228470977,0.2,2,16,3.637018224292466e-06,0.0029940119760479044,0.004234172342434416,0.963916669982556,0.0059595562364436775,0.015590200445434299,0.02204787291004825,0.6863228883954272,0.0619932419397039,0.41720594269986633,0.02057893273893573,0.0029940119760479044,0.004234172342434416,0.0015822784810126582,0.002237679687299201,0.05223880597014925,0.07387682788516167,0.009292106210741101,0.013141022626241334,0.027777777777777776,0.039283710065919304,0.009162303664921465,0.01295745410551265,8.5,RAW_1D,BILSTM1D,547220,108.3547101020813,COMPLETE
44,0.1195013273461465,0.5038173428839069,0.5,128,96,0.00021534866864009923,0.4,2,32,0.00023317031058051095,0.17926988265971316,0.18161673519393723,0.9686642009818718,0.0006636547129736599,0.05973277203257985,0.06138569530827849,0.8076025158614628,0.035346599515491135,0.5038173428839069,0.03872849617204399,0.03358699411968177,0.02440998158506311,0.1566186107470511,0.18256885438237203,0.1881860835694051,0.2420976873441017,0.1195013273461465,0.060115519942829376,0.3333333333333333,0.0,0.03795811518324607,0.03146810282767358,19.5,RAW_1D,BILSTM1D,328228,86.5472400188446,COMPLETE
45,,,0.6,128,112,,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,134484,,PRUNED
46,,,0.30000000000000004,128,112,,0.30000000000000004,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,742308,,PRUNED
47,,,0.4,64,112,,,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,119908,,PRUNED
48,,,0.2,128,128,,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,169684,,PRUNED
49,,,0.4,128,104,,,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,120548,,PRUNED
50,,,0.5,64,96,,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,89748,,PRUNED
51,,,0.5,128,96,,0.0,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,550948,,PRUNED
52,0.05969895777436824,0.4701040970606827,0.5,128,96,0.0012739884685212823,0.1,3,16,0.00013844941247686046,0.0194899099454414,0.015292061461274839,0.966504278720891,0.0005379137488776806,0.09990800560329507,0.0928291095166182,0.7945141939731033,0.016908414339001223,0.4701040970606827,0.023476887161366713,0.0194899099454414,0.015292061461274839,0.01267400300978179,0.011539035603448645,0.30576923076923074,0.37259088085598846,0.05969895777436824,0.03876852402767168,0.08333333333333333,0.039283710065919304,0.06282722513089005,0.048127686677618416,10.5,RAW_1D,BILSTM1D,548820,102.31383204460144,COMPLETE
53,,,0.6,64,120,,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,134868,,PRUNED
54,0.045714535163683664,0.3726191836535081,0.6,128,104,0.00040018266370984924,0.30000000000000004,2,16,3.594630122695576e-05,0.08235294117647059,0.11646464631307842,0.8616385427482569,0.024879512192755145,0.009076129150896742,0.002891340904279855,0.537409121538408,0.08713837126714837,0.3726191836535081,0.056397797217175506,0.0035158211953792064,0.004972122017384061,0.05223880597014925,0.07387682788516167,0.005498372523674983,0.0016232968991119754,0.045714535163683664,0.05678665270439928,0.19444444444444445,0.27498597046143514,0.02617801047120419,0.01110638923329656,13.5,RAW_1D,BILSTM1D,379668,117.59064674377441,COMPLETE
55,0.09741785394478303,0.4735915577785109,0.5,64,128,0.0012647651517365167,0.30000000000000004,2,16,4.126238528839782e-06,0.03882495457298607,0.010364617870814326,0.9651086686630085,0.013803101979979148,0.15601075331658,0.025028987618412265,0.7344218545614692,0.10895541612840462,0.4735915577785109,0.03435572196399539,0.03882495457298607,0.010364617870814326,0.021867433414043583,0.006955499512276874,0.4937683284457478,0.4909311743281969,0.09741785394478303,0.00733218487379897,0.19444444444444442,0.039283710065919304,0.11387434554973822,0.024063843338809204,15.5,RAW_1D,BILSTM1D,547220,149.79088354110718,COMPLETE
56,0.05525386421930219,0.4299753815797738,0.6,128,96,0.0017961384989666756,0.2,3,16,7.4360528671429165e-06,0.015004160599126274,0.005847200863774759,0.8562062457254721,0.13149524850946373,0.09550356783947811,0.10354972395123432,0.7531875521550182,0.022175395273358097,0.4299753815797738,0.0517555940808913,0.015004160599126274,0.005847200863774759,0.0080211174145751,0.003464945944649623,0.20321598222494636,0.2701357023974427,0.05525386421930219,0.04885126154372978,0.16666666666666666,0.07856742013183861,0.11780104712041885,0.01480851897772874,7.5,RAW_1D,BILSTM1D,548820,84.64780044555664,COMPLETE
57,,,0.5,128,112,,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,134484,,PRUNED
58,,,0.4,128,128,,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,169684,,PRUNED
59,,,0.4,128,120,,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,151572,,PRUNED
60,,,0.30000000000000004,128,128,,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,169684,,PRUNED
61,,,0.30000000000000004,128,128,,0.2,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,960212,,PRUNED
62,,,0.30000000000000004,64,96,,,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,90852,,PRUNED
63,,,0.2,128,128,,,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,171812,,PRUNED
64,,,0.30000000000000004,64,112,,0.4,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,724500,,PRUNED
65,0.0,0.3962327537611706,0.6,128,104,0.00013533038109176236,0.0,2,32,2.8608604787737413e-06,0.0,0.0,0.9798448228617159,0.0023919530298802663,0.0,0.0,0.6050861921829664,0.012261827780944335,0.3962327537611706,0.00366344520270617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,RAW_1D,BILSTM1D,381796,53.67843985557556,COMPLETE
66,0.02143255445829511,0.41054846535160966,0.5,128,96,0.0005051291628787461,0.1,2,16,3.5746128776203046e-05,0.037037037037037035,0.05237828008789241,0.9377780430502927,0.051473286167787395,0.005828071879553181,0.008242138294549364,0.6615507094395556,0.14047640544211884,0.41054846535160966,0.03740588441419329,0.005828071879553181,0.008242138294549364,0.05555555555555555,0.07856742013183861,0.0035778175313059034,0.005059798076469034,0.02143255445829511,0.030310209191220887,0.027777777777777776,0.039283710065919304,0.015706806282722512,0.022212778466593117,4.0,RAW_1D,BILSTM1D,326100,40.49408459663391,COMPLETE
67,0.07017543859649122,0.3826321266666677,0.6,64,112,0.00025564551817916286,0.1,2,32,0.0008671572133692735,0.13333333333333333,0.18856180831641267,0.9503699590104848,0.015868794013680854,0.007017543859649123,0.009924305700863825,0.43980767046320335,0.19861867666251493,0.3826321266666677,0.09530899916652763,0.007017543859649123,0.009924305700863825,0.16666666666666666,0.23570226039551584,0.010638297872340425,0.015044825131628671,0.07017543859649122,0.09924305700863825,0.1111111111111111,0.15713484026367722,0.005235602094240838,0.0074042594888643724,6.0,RAW_1D,BILSTM1D,422756,82.80739688873291,COMPLETE
