number,values_0,values_1,params_dropout,params_head_dim,params_hidden_size,params_input_projection,params_learning_rate,params_lstm_dropout,params_n_layers,params_pooling,params_rr_dim,params_weight_decay,user_attrs_F1_F_mean,user_attrs_F1_F_std,user_attrs_F1_N_mean,user_attrs_F1_N_std,user_attrs_F1_S_mean,user_attrs_F1_S_std,user_attrs_F1_V_mean,user_attrs_F1_V_std,user_attrs_Macro_F1_mean,user_attrs_Macro_F1_std,user_attrs_Min_Rare_F1_mean,user_attrs_Min_Rare_F1_std,user_attrs_Precision_F_mean,user_attrs_Precision_F_std,user_attrs_Precision_S_mean,user_attrs_Precision_S_std,user_attrs_Rare_Macro_SF_mean,user_attrs_Rare_Macro_SF_std,user_attrs_Recall_F_mean,user_attrs_Recall_F_std,user_attrs_Recall_S_mean,user_attrs_Recall_S_std,user_attrs_best_epoch_mean,user_attrs_domain,user_attrs_model_id,user_attrs_n_parameters,user_attrs_time_s,state
29,0.1300317669739537,0.359303807917215,0.2,128,112,64,0.00046733577864592463,0.1,2,attention,16,1.2847996027971427e-07,0.1360708534621578,0.06945815402959644,0.8841829561177283,0.05000558702699059,0.12399268048574957,0.01948014187298434,0.29296874160322434,0.060039667301307345,0.359303807917215,0.04000581662122752,0.09858733090400838,0.016448448062343687,0.16944444444444445,0.04321208107251124,0.4208746263960988,0.4563880955180753,0.1300317669739537,0.024989006078306064,0.16666666666666669,0.15713484026367724,0.10078534031413612,0.03517023257210577,10.5,STFT_2D,BILSTM2D,502389,98.88276052474976,COMPLETE
30,0.19630279066009826,0.38544142960407657,0.4,128,80,96,0.0010256441281792197,0.4,3,mean,32,1.8500362518469734e-05,0.14060606060606062,0.027427172118750936,0.8654008717208841,0.03630079482313015,0.2519995207141359,0.026752414841045125,0.2837592653752255,0.03300823863574877,0.38544142960407657,0.017158569045293302,0.14060606060606062,0.027427172118750936,0.12916666666666665,0.005892556509887895,0.49,0.10842303978193728,0.19630279066009826,0.00033737863885289506,0.16666666666666666,0.07856742013183861,0.1701570680628272,0.01110638923329655,6.0,STFT_2D,BILSTM2D,461636,64.47087073326111,COMPLETE
31,,,0.4,64,128,64,,,1,attention,32,,,,,,,,,,,,,,,,,,,,,,,,,,,226213,,PRUNED
32,,,0.5,64,128,96,,0.4,2,attention,32,,,,,,,,,,,,,,,,,,,,,,,,,,,658437,,PRUNED
33,0.1996092705856129,0.42449460000038636,0.2,128,112,96,0.00046208737959756445,0.4,2,mean,32,1.5884204511928577e-05,0.11767775603392042,0.076015132119728,0.9150547916189224,0.04548169437367119,0.2815407851373054,0.009180606658666404,0.3837050672113971,0.09645770113378865,0.42449460000038636,0.052193480242130406,0.11767775603392042,0.076015132119728,0.10564822944103015,0.10015794032610156,0.5954103710009222,0.06254963156271723,0.1996092705856129,0.033417262730530806,0.2777777777777778,0.15713484026367724,0.18455497382198954,0.0018510648722160948,11.0,STFT_2D,BILSTM2D,537156,101.11472129821777,COMPLETE
34,,,0.2,64,128,64,,,1,attention,16,,,,,,,,,,,,,,,,,,,,,,,,,,,225109,,PRUNED
35,0.12275381841821313,0.34962063799629495,0.2,128,128,128,0.00044269359748343986,,1,attention,16,1.2695717571240007e-07,0.0872316384180791,0.027485280534256768,0.8641772676982737,0.031137236069290503,0.15827599841834716,0.052721255302702816,0.28879764745048,0.036081044864472146,0.34962063799629495,0.0032470637257992143,0.0872316384180791,0.027485280534256768,0.055087719298245616,0.021337257256857218,0.41797385620915034,0.32397506772011103,0.12275381841821313,0.04010326791847979,0.2222222222222222,0.0,0.10209424083769633,0.01851064872216093,3.0,STFT_2D,BILSTM2D,316757,41.163520097732544,COMPLETE
36,,,0.5,128,112,96,,0.2,3,attention,32,,,,,,,,,,,,,,,,,,,,,,,,,,,840229,,PRUNED
37,,,0.5,128,128,64,,0.30000000000000004,3,mean,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1035236,,PRUNED
38,,,0.4,64,128,128,,0.1,2,attention,16,,,,,,,,,,,,,,,,,,,,,,,,,,,694293,,PRUNED
39,,,0.2,128,128,128,,0.30000000000000004,2,mean,32,,,,,,,,,,,,,,,,,,,,,,,,,,,713892,,PRUNED
40,,,0.2,128,128,96,,0.30000000000000004,3,mean,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1070068,,PRUNED
41,,,0.5,64,112,96,,0.30000000000000004,3,mean,32,,,,,,,,,,,,,,,,,,,,,,,,,,,823300,,PRUNED
42,,,0.30000000000000004,64,128,96,,0.0,3,attention,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1053701,,PRUNED
43,0.1565795667565579,0.372156525767808,0.6,128,80,128,0.0011400825889296255,0.1,2,attention,16,1.090024943321e-07,0.08225550260948492,0.028720697488629907,0.8924650456358871,0.019851621819558078,0.23090363090363092,0.010578610867874105,0.28300192392222906,0.05220839867296844,0.372156525767808,0.008190178034005645,0.08225550260948492,0.028720697488629907,0.05016025641025641,0.023343589250709743,0.4402526983477416,0.11578335498379146,0.1565795667565579,0.01964965417825201,0.3055555555555556,0.11785113019775793,0.15837696335078533,0.0055531946166482845,6.0,STFT_2D,BILSTM2D,329461,55.601184368133545,COMPLETE
44,0.15576392241340392,0.36854958002193494,0.2,64,128,128,0.00042636414439129995,,1,attention,32,7.649969542758161e-07,0.06945902108577426,0.022128711404368624,0.8710471373237425,0.01744402288691118,0.2420688237410336,0.029960523881467846,0.2916233379371894,0.013196284130912568,0.36854958002193494,0.009618029873730722,0.06945902108577426,0.022128711404368624,0.04911690496215307,0.028070176679566898,0.4552507836990596,0.026710459916294366,0.15576392241340392,0.00391590623854961,0.2222222222222222,0.15713484026367722,0.16623036649214662,0.03146810282767357,7.5,STFT_2D,BILSTM2D,300133,60.967143297195435,COMPLETE
