number,values_0,values_1,params_dropout,params_ff_multiplier,params_head_dim,params_learning_rate,params_model_head_pair,params_n_layers,params_patch_size,params_rr_dim,params_transformer_dropout,params_weight_decay,user_attrs_F1_F_mean,user_attrs_F1_F_std,user_attrs_F1_N_mean,user_attrs_F1_N_std,user_attrs_F1_S_mean,user_attrs_F1_S_std,user_attrs_F1_V_mean,user_attrs_F1_V_std,user_attrs_Macro_F1_mean,user_attrs_Macro_F1_std,user_attrs_Min_Rare_F1_mean,user_attrs_Min_Rare_F1_std,user_attrs_Precision_F_mean,user_attrs_Precision_F_std,user_attrs_Precision_S_mean,user_attrs_Precision_S_std,user_attrs_Rare_Macro_SF_mean,user_attrs_Rare_Macro_SF_std,user_attrs_Recall_F_mean,user_attrs_Recall_F_std,user_attrs_Recall_S_mean,user_attrs_Recall_S_std,user_attrs_best_epoch_mean,user_attrs_domain,user_attrs_model_id,user_attrs_n_parameters,user_attrs_time_s,state
10,0.08367964451223724,0.32621506922966065,0.6,4,64,0.0003864209538592966,96x4,2,32,16,0.2,7.253123304478706e-07,0.07565982404692081,0.02986022770993045,0.8523177476385063,0.052042712202533745,0.09169946497755366,0.04184327533342078,0.2851832402556619,0.014082359008447903,0.32621506922966065,0.001394607958092376,0.07565982404692081,0.02986022770993045,0.05039525691699605,0.025153996168691413,0.13176916283177614,0.02368198000487647,0.08367964451223724,0.035851751521675614,0.16666666666666666,0.0,0.08376963350785341,0.06293620565534716,6.0,STFT_2D,VIT2D,331572,64.74267625808716,COMPLETE
11,,,0.5,4,128,,64x4,4,16,16,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,231700,,PRUNED
12,0.1843594478788593,0.37267598792757645,0.4,4,128,0.00022512293751966175,112x4,3,16,32,0.4,9.768489296134146e-05,0.08644688644688645,0.09531695805005477,0.8547908813760574,0.012547697648916683,0.2822720093108322,0.011821362847835661,0.2671941745765298,0.056506912915489746,0.37267598792757645,0.009884094983911558,0.08644688644688645,0.09531695805005477,0.051377807955638545,0.058895557172330554,0.6733496999454447,0.18998913788018257,0.1843594478788593,0.041747797601109554,0.4444444444444444,0.0,0.1819371727748691,0.024063843338809194,9.0,STFT_2D,VIT2D,511588,85.82653164863586,COMPLETE
13,,,0.4,4,64,,96x4,5,16,32,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,599076,,PRUNED
14,0.21748497570031605,0.5083933240009422,0.6,2,128,0.002383247604301135,112x8,3,32,32,0.4,3.1422548350216698e-06,0.037037037037037035,0.05237828008789241,0.9737692426486424,0.004472536953125533,0.39793291436359507,0.05123806993227271,0.6248341019544938,0.06497998926345974,0.5083933240009422,0.008540955950894961,0.037037037037037035,0.05237828008789241,0.023809523809523808,0.03367175148507369,0.8218434343434344,0.20373960538733604,0.21748497570031605,0.05180817501008258,0.08333333333333333,0.11785113019775792,0.2709424083769634,0.06848940027199543,6.5,STFT_2D,VIT2D,441028,72.97879409790039,COMPLETE
15,0.14384978179206717,0.48512891539714753,0.30000000000000004,2,128,0.00186362927583374,96x8,4,32,16,0.30000000000000004,1.7298609073191153e-05,0.0,0.0,0.9763552058545375,0.014982302334548593,0.28769956358413434,0.20343187095745727,0.6764608921499182,0.04912629473381273,0.48512891539714753,0.06688511700645465,0.0,0.0,0.0,0.0,0.5663265306122449,0.09379987913699103,0.14384978179206717,0.10171593547872863,0.0,0.0,0.23036649214659685,0.2110213954326346,8.5,STFT_2D,VIT2D,414516,91.1802134513855,COMPLETE
16,0.2490028390090128,0.4001109241211357,0.2,4,128,0.0002569345003729875,80x4,5,16,32,0.30000000000000004,4.2948830588056715e-07,0.13157894736842105,0.1860807318911967,0.8530234958675331,0.03168203585451386,0.3664267306496045,0.019429255908902585,0.24941452259898422,0.012184892043164702,0.4001109241211357,0.04041076497560517,0.13157894736842105,0.1860807318911967,0.125,0.1767766952966369,0.9449562957713206,0.06080483542449873,0.2490028390090128,0.10275499390004965,0.1388888888888889,0.19641855032959654,0.22774869109947643,0.01851064872216093,5.0,STFT_2D,VIT2D,430340,71.96041297912598,COMPLETE
17,,,0.4,4,128,,96x8,4,32,16,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,562740,,PRUNED
18,,,0.4,2,128,,80x4,3,16,32,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,197380,,PRUNED
19,,,0.30000000000000004,4,64,,96x4,5,16,32,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,599076,,PRUNED
20,,,0.4,4,64,,96x4,5,32,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,667092,,PRUNED
21,,,0.2,4,128,,80x4,2,16,32,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,196820,,PRUNED
22,0.10280947123052386,0.36983067646886647,0.6,2,128,0.0010186273239298686,96x4,4,32,16,0.2,3.258416056020115e-07,0.09090909090909091,0.128564869306645,0.8880896205395807,0.0667461951729669,0.11470985155195682,0.16222422780258175,0.3856141428748373,0.1330354591045873,0.36983067646886647,0.02275186070791815,0.09090909090909091,0.128564869306645,0.1,0.14142135623730953,0.11838440111420613,0.16742082562912686,0.10280947123052386,0.1453945485546134,0.08333333333333333,0.11785113019775792,0.11125654450261781,0.15734051413836792,6.0,STFT_2D,VIT2D,414516,72.17661166191101,COMPLETE
