fold_id,record_id,config_id,family,seed,n_beats,confusion_json,Accuracy,Macro_F1,Rare_Macro_SF,Min_Rare_F1,Rare_HMean_SF,F1_N,Precision_N,Recall_N,Support_N,Predicted_N,F1_S,Precision_S,Recall_S,Support_S,Predicted_S,F1_V,Precision_V,Recall_V,Support_V,Predicted_V,F1_F,Precision_F,Recall_F,Support_F,Predicted_F
HOLDOUT_205,205,F_RECORD_BALANCED_CE_P025,record_balanced,8204,2656,"[[2568, 3, 0, 0], [0, 3, 0, 0], [0, 0, 71, 0], [11, 0, 0, 0]]",0.9947289156626506,0.6659870550161813,0.3333333333333333,0.0,0.0,0.9972815533980582,0.9957347809228383,0.9988331388564761,2571,2579,0.6666666666666666,0.5,1.0,3,6,1.0,1.0,1.0,71,71,0.0,0.0,0.0,11,0
HOLDOUT_205,205,F_RECORD_BALANCED_FOCAL_A025_G3,record_balanced,8200,2656,"[[2570, 1, 0, 0], [0, 3, 0, 0], [0, 1, 69, 1], [11, 0, 0, 0]]",0.9947289156626506,0.6833462732919255,0.375,0.0,0.0,0.9976708074534162,0.9957380860131732,0.999611046285492,2571,2581,0.75,0.6,1.0,3,5,0.9857142857142858,1.0,0.971830985915493,71,69,0.0,0.0,0.0,11,1
HOLDOUT_205,205,F_RECORD_BALANCED_FOCAL_A025_G3,record_balanced,8201,2656,"[[2571, 0, 0, 0], [1, 2, 0, 0], [0, 0, 70, 1], [11, 0, 0, 0]]",0.995105421686747,0.69764487817766,0.4,0.0,0.0,0.9976717112922002,0.9953542392566783,1.0,2571,2583,0.8,1.0,0.6666666666666666,3,2,0.9929078014184397,1.0,0.9859154929577465,71,70,0.0,0.0,0.0,11,1
HOLDOUT_205,205,F_RECORD_BALANCED_FOCAL_A025_G3,record_balanced,8202,2656,"[[2567, 4, 0, 0], [0, 3, 0, 0], [0, 0, 71, 0], [11, 0, 0, 0]]",0.9943524096385542,0.6492717032433482,0.3,0.0,0.0,0.9970868129733929,0.995733126454616,0.9984441851419681,2571,2578,0.6,0.42857142857142855,1.0,3,7,1.0,1.0,1.0,71,71,0.0,0.0,0.0,11,0
HOLDOUT_205,205,F_RECORD_BALANCED_FOCAL_A025_G3,record_balanced,8203,2656,"[[2568, 3, 0, 0], [0, 3, 0, 0], [1, 0, 69, 1], [11, 0, 0, 0]]",0.9939759036144579,0.6623672241173697,0.3333333333333333,0.0,0.0,0.9970879440885265,0.9953488372093023,0.9988331388564761,2571,2580,0.6666666666666666,0.5,1.0,3,6,0.9857142857142858,1.0,0.971830985915493,71,69,0.0,0.0,0.0,11,1
HOLDOUT_205,205,F_RECORD_BALANCED_FOCAL_A025_G3,record_balanced,8204,2656,"[[2568, 3, 0, 0], [0, 3, 0, 0], [1, 0, 70, 0], [11, 0, 0, 0]]",0.9943524096385542,0.6641656030434082,0.3333333333333333,0.0,0.0,0.9970879440885265,0.9953488372093023,0.9988331388564761,2571,2580,0.6666666666666666,0.5,1.0,3,6,0.9929078014184397,1.0,0.9859154929577465,71,70,0.0,0.0,0.0,11,0
HOLDOUT_205,205,WGAN_F_RECORD_BALANCED_X10,wgan_f_record_balanced,8200,2656,"[[2570, 1, 0, 0], [0, 3, 0, 0], [3, 0, 68, 0], [11, 0, 0, 0]]",0.9943524096385542,0.7081625817539123,0.42857142857142855,0.0,0.0,0.997090203685742,0.9945820433436533,0.999611046285492,2571,2584,0.8571428571428571,0.75,1.0,3,4,0.9784172661870504,1.0,0.9577464788732394,71,68,0.0,0.0,0.0,11,0
HOLDOUT_205,205,WGAN_F_RECORD_BALANCED_X10,wgan_f_record_balanced,8201,2656,"[[2569, 2, 0, 0], [0, 3, 0, 0], [1, 0, 70, 0], [11, 0, 0, 0]]",0.9947289156626506,0.685047602528523,0.375,0.0,0.0,0.9972826086956522,0.995350639287098,0.999222092570984,2571,2581,0.75,0.6,1.0,3,5,0.9929078014184397,1.0,0.9859154929577465,71,70,0.0,0.0,0.0,11,0
HOLDOUT_205,205,WGAN_F_RECORD_BALANCED_X10,wgan_f_record_balanced,8202,2656,"[[2570, 1, 0, 0], [0, 3, 0, 0], [0, 1, 70, 0], [11, 0, 0, 0]]",0.995105421686747,0.685144652217964,0.375,0.0,0.0,0.9976708074534162,0.9957380860131732,0.999611046285492,2571,2581,0.75,0.6,1.0,3,5,0.9929078014184397,1.0,0.9859154929577465,71,70,0.0,0.0,0.0,11,0
HOLDOUT_205,205,WGAN_F_RECORD_BALANCED_X10,wgan_f_record_balanced,8203,2656,"[[2570, 1, 0, 0], [0, 3, 0, 0], [0, 3, 68, 0], [11, 0, 0, 0]]",0.9943524096385542,0.6440220184101166,0.3,0.0,0.0,0.9976708074534162,0.9957380860131732,0.999611046285492,2571,2581,0.6,0.42857142857142855,1.0,3,7,0.9784172661870504,1.0,0.9577464788732394,71,68,0.0,0.0,0.0,11,0
HOLDOUT_205,205,WGAN_F_RECORD_BALANCED_X10,wgan_f_record_balanced,8204,2656,"[[2571, 0, 0, 0], [0, 3, 0, 0], [1, 0, 70, 0], [11, 0, 0, 0]]",0.9954819277108434,0.74764487817766,0.5,0.0,0.0,0.9976717112922002,0.9953542392566783,1.0,2571,2583,1.0,1.0,1.0,3,3,0.9929078014184397,1.0,0.9859154929577465,71,70,0.0,0.0,0.0,11,0
HOLDOUT_205,205,WGAN_F_RECORD_BALANCED_X20,wgan_f_record_balanced,8200,2656,"[[2570, 1, 0, 0], [0, 3, 0, 0], [3, 2, 66, 0], [11, 0, 0, 0]]",0.9935993975903614,0.6568151299968613,0.3333333333333333,0.0,0.0,0.997090203685742,0.9945820433436533,0.999611046285492,2571,2584,0.6666666666666666,0.5,1.0,3,6,0.9635036496350365,1.0,0.9295774647887324,71,66,0.0,0.0,0.0,11,0
HOLDOUT_205,205,WGAN_F_RECORD_BALANCED_X20,wgan_f_record_balanced,8201,2656,"[[2570, 1, 0, 0], [0, 3, 0, 0], [0, 0, 71, 0], [11, 0, 0, 0]]",0.9954819277108434,0.7137034161490683,0.42857142857142855,0.0,0.0,0.9976708074534162,0.9957380860131732,0.999611046285492,2571,2581,0.8571428571428571,0.75,1.0,3,4,1.0,1.0,1.0,71,71,0.0,0.0,0.0,11,0
HOLDOUT_205,205,WGAN_F_RECORD_BALANCED_X20,wgan_f_record_balanced,8202,2656,"[[2568, 3, 0, 0], [0, 3, 0, 0], [0, 0, 71, 0], [11, 0, 0, 0]]",0.9947289156626506,0.6659870550161813,0.3333333333333333,0.0,0.0,0.9972815533980582,0.9957347809228383,0.9988331388564761,2571,2579,0.6666666666666666,0.5,1.0,3,6,1.0,1.0,1.0,71,71,0.0,0.0,0.0,11,0
HOLDOUT_205,205,WGAN_F_RECORD_BALANCED_X20,wgan_f_record_balanced,8203,2656,"[[2571, 0, 0, 0], [1, 2, 0, 0], [2, 0, 69, 0], [11, 0, 0, 0]]",0.9947289156626506,0.6957497506372603,0.4,0.0,0.0,0.9972847168347556,0.9945841392649903,1.0,2571,2585,0.8,1.0,0.6666666666666666,3,2,0.9857142857142858,1.0,0.971830985915493,71,69,0.0,0.0,0.0,11,0
HOLDOUT_205,205,WGAN_F_RECORD_BALANCED_X20,wgan_f_record_balanced,8204,2656,"[[2568, 3, 0, 0], [0, 3, 0, 0], [1, 1, 69, 0], [11, 0, 0, 0]]",0.9939759036144579,0.6457005574507031,0.3,0.0,0.0,0.9970879440885265,0.9953488372093023,0.9988331388564761,2571,2580,0.6,0.42857142857142855,1.0,3,7,0.9857142857142858,1.0,0.971830985915493,71,69,0.0,0.0,0.0,11,0
