config_id,family,seed,n_folds,n_validation_records,RecordMacro_F1_F,RecordMacro_Recall_F,RecordMacro_Precision_F,RecordMedian_F1_F,RecordWorst_F1_F,oof_confusion_json,WGAN_QA_fold_pass_rate,WGAN_QA_all_folds_passed,OOF_Accuracy,OOF_Macro_F1,OOF_Rare_Macro_SF,OOF_Min_Rare_F1,OOF_Rare_HMean_SF,OOF_F1_N,OOF_Precision_N,OOF_Recall_N,OOF_F1_S,OOF_Precision_S,OOF_Recall_S,OOF_F1_V,OOF_Precision_V,OOF_Recall_V,OOF_F1_F,OOF_Precision_F,OOF_Recall_F
F_RECORD_BALANCED_CE_P025,record_balanced,8200,4,10,0.030193143408981167,0.12142857142857141,0.05009666505558241,0.0,0.0,"[[15538, 773, 2373, 2463], [81, 48, 129, 0], [214, 268, 1972, 33], [261, 11, 137, 5]]",1.0,True,0.7225787871307496,0.3660572130264961,0.03706136306797657,0.003430531732418525,0.006543521232363165,0.8344566472436293,0.9654529638374549,0.7347614318815908,0.07069219440353461,0.04363636363636364,0.18604651162790697,0.5556494787264018,0.4276729559748428,0.7929232006433454,0.003430531732418525,0.001999200319872051,0.012077294685990338
F_RECORD_BALANCED_CE_P025,record_balanced,8201,4,10,0.004495662949194548,0.2,0.0022892635314995563,0.0,0.0,"[[15183, 886, 3537, 1541], [78, 54, 123, 3], [188, 156, 2127, 16], [286, 0, 125, 3]]",1.0,True,0.7145149345840534,0.3531539713029994,0.04139928229289712,0.0030349013657056147,0.00584731997834326,0.8233284529038556,0.9649189704480458,0.717974180734856,0.07976366322008863,0.04927007299270073,0.20930232558139536,0.5064888677223479,0.3597767253044655,0.8552472858866104,0.0030349013657056147,0.0019193857965451055,0.007246376811594203
F_RECORD_BALANCED_CE_P025,record_balanced,8202,4,10,0.00036330608537693006,0.1,0.00018198362147406734,0.0,0.0,"[[17162, 806, 1873, 1306], [60, 41, 156, 1], [306, 171, 1980, 30], [250, 2, 160, 2]]",1.0,True,0.7893112811651444,0.38579870253165627,0.03322227846383619,0.0022818026240730175,0.004406884413333512,0.8817983301220296,0.965350433119586,0.8115571948739774,0.06416275430359937,0.04019607843137255,0.15891472868217055,0.5949519230769231,0.47493403693931396,0.7961399276236429,0.0022818026240730175,0.0014936519790888724,0.004830917874396135
F_RECORD_BALANCED_CE_P025,record_balanced,8203,4,10,0.041021150699318734,0.22857142857142856,0.0476584916394578,0.0,0.0,"[[14730, 1155, 2553, 2709], [78, 49, 129, 2], [194, 180, 2085, 28], [240, 0, 167, 7]]",1.0,True,0.6941084505883321,0.3589044714700836,0.03205684638986108,0.004430379746835443,0.00824846393401229,0.8095853142433153,0.9664086077942527,0.6965527025109944,0.05968331303288672,0.03540462427745665,0.18992248062015504,0.5619188788572969,0.4225780299959465,0.8383594692400482,0.004430379746835443,0.0025491624180626364,0.016908212560386472
F_RECORD_BALANCED_CE_P025,record_balanced,8204,4,10,0.017867565990012324,0.07142857142857142,0.015110497237569059,0.0,0.0,"[[16420, 386, 3150, 1191], [79, 43, 133, 3], [321, 154, 1976, 36], [272, 2, 136, 4]]",1.0,True,0.7587838393812227,0.36676890760962083,0.05343548814336224,0.0048543689320388345,0.009267740718788726,0.8588090692748241,0.9606833606365551,0.7764694755757318,0.10201660735468565,0.0735042735042735,0.16666666666666666,0.5013955848769348,0.36626506024096384,0.7945315641334941,0.0048543689320388345,0.0032414910858995136,0.00966183574879227
F_RECORD_BALANCED_FOCAL_A025_G3,record_balanced,8200,4,10,0.013333333333333332,0.007142857142857143,0.1,0.0,0.0,"[[13858, 2001, 4185, 1103], [78, 40, 137, 3], [265, 205, 1999, 18], [276, 1, 136, 1]]",1.0,True,0.6540771825886612,0.3145635180474773,0.01661783645185263,0.001299545159194282,0.002497463513618981,0.7780148214686728,0.9572425226220902,0.655317539130846,0.031936127744510975,0.017801513128615932,0.15503875968992248,0.4470035778175313,0.30958649527644416,0.8037796542018496,0.001299545159194282,0.0008888888888888889,0.0024154589371980675
F_RECORD_BALANCED_FOCAL_A025_G3,record_balanced,8201,4,10,0.024841339155749636,0.20714285714285713,0.01826923076923077,0.0,0.0,"[[16073, 454, 1861, 2759], [89, 33, 135, 1], [261, 199, 2009, 18], [299, 3, 108, 4]]",1.0,True,0.7454537974162758,0.38246463161877997,0.03609844935525267,0.0025031289111389237,0.004832686534377975,0.8488737489767356,0.9611888530080134,0.760060528680191,0.06969376979936642,0.047895500725689405,0.12790697674418605,0.6087878787878788,0.4884512521274009,0.8078005629272216,0.0025031289111389237,0.0014378145219266715,0.00966183574879227
F_RECORD_BALANCED_FOCAL_A025_G3,record_balanced,8202,4,10,0.014575219084712756,0.20714285714285713,0.009873015873015872,0.0,0.0,"[[16757, 2383, 1008, 999], [67, 39, 149, 3], [253, 250, 1945, 39], [309, 0, 101, 4]]",1.0,True,0.7712087550399078,0.3963769780787324,0.01605218404302353,0.0054832076764907475,0.00909342621063523,0.869748008200763,0.9638214655469919,0.79240554215728,0.026621160409556314,0.014595808383233533,0.1511627906976744,0.6836555360281195,0.6072432094911021,0.7820667470848411,0.0054832076764907475,0.003827751196172249,0.00966183574879227
F_RECORD_BALANCED_FOCAL_A025_G3,record_balanced,8203,4,10,0.012244897959183673,0.02142857142857143,0.008571428571428572,0.0,0.0,"[[14121, 3122, 2980, 924], [104, 16, 138, 0], [413, 184, 1859, 31], [298, 0, 113, 3]]",1.0,True,0.6582325351764996,0.3216756758535822,0.006655862664299558,0.004373177842565598,0.0058729964517313105,0.7826954521519829,0.9454338510980183,0.6677542913888495,0.008938547486033519,0.00481637567730283,0.06201550387596899,0.4906955259337469,0.3652259332023576,0.7474869320466425,0.004373177842565598,0.003131524008350731,0.007246376811594203
F_RECORD_BALANCED_FOCAL_A025_G3,record_balanced,8204,4,10,0.09043164969167879,0.21428571428571427,0.11678459119496853,0.0,0.0,"[[13620, 3381, 2217, 1929], [114, 17, 127, 0], [310, 301, 1875, 1], [243, 2, 164, 5]]",1.0,True,0.6384020406483996,0.33186246531863867,0.006422578986764184,0.004257130693912303,0.005692472542191266,0.7687531749167467,0.953314201721845,0.6440629876578238,0.008588027279616064,0.0045933531477978925,0.06589147286821706,0.5458515283842795,0.4277891854893908,0.7539203860072377,0.004257130693912303,0.002583979328165375,0.012077294685990338
