phase,window,window_before,window_after,seed,n_train_raw,n_val,time_s,F1_N,F1_S,F1_V,F1_F,Macro_F1,Min_Rare_F1,Rare_F1_weighted,best_epoch,n_train_after_resampling
screen,70x110,70,110,101,37862,13141,129.0,0.9026265499311141,0.18275862068965518,0.3511111111111111,0.19607843137254902,0.40814367827610737,0.18275862068965518,0.19075050709939148,9,44690
screen,70x110,70,110,102,37862,13141,136.6,0.9173407154288681,0.2974559686888454,0.7188665175242357,0.012204424103737605,0.48646690643642165,0.012204424103737605,0.12630504193778072,10,44690
screen,70x110,70,110,103,37862,13141,83.7,0.9500170010200613,0.1889483065953654,0.5463228271251194,0.020202020202020204,0.42637253873564157,0.020202020202020204,0.08770053475935828,3,44690
screen,70x110,70,110,104,37862,13141,91.2,0.9249029105031199,0.2112676056338028,0.4889107934943322,0.03305785123966942,0.4145347902177311,0.03305785123966942,0.10434175299732278,4,44690
screen,70x110,70,110,105,37862,13141,76.1,0.8191763504643361,0.25538020086083213,0.3438651922064244,0.013114754098360656,0.35788412440748835,0.013114754098360656,0.11002093280334925,2,44690
screen,70x115,70,115,100,37862,13141,106.5,0.8841646225129463,0.3486238532110092,0.4825306893295562,0.003738317757009346,0.4297643707026303,0.003738317757009346,0.14169253193860928,6,44690
screen,70x115,70,115,101,37862,13141,106.5,0.9418284928681904,0.1445221445221445,0.5722801788375559,0.0,0.41465770405697266,0.0,0.057808857808857805,6,44690
screen,70x115,70,115,102,37862,13141,152.3,0.9802025211820624,0.14254859611231102,0.8221941992433796,0.05263157894736842,0.49939422387128035,0.05263157894736842,0.08859838581334545,12,44690
screen,70x115,70,115,103,37862,13141,114.4,0.9087604185139209,0.23935091277890466,0.3794361525704809,0.009174311926605505,0.384180448947478,0.009174311926605505,0.10124495226752517,7,44690
screen,70x115,70,115,104,37862,13141,84.1,0.8716934259557436,0.19815668202764977,0.2922077922077922,0.07476635514018691,0.3592060638328431,0.07476635514018691,0.12412248589517207,3,44690
screen,70x115,70,115,105,37862,13141,68.8,0.9393073593073593,0.151487826871055,0.7050847457627119,0.0,0.44896998298528157,0.0,0.060595130748422,1,44690
screen,75x110,75,110,100,37862,13141,145.5,0.874404387305583,0.2603036876355748,0.611072179397337,0.002793296089385475,0.4371433876069701,0.002793296089385475,0.10579745270786121,11,44690
screen,75x110,75,110,101,37862,13141,99.4,0.959328652735657,0.2101010101010101,0.5387700534759359,0.01818181818181818,0.4315953836236053,0.01818181818181818,0.09494949494949495,5,44690
screen,75x110,75,110,102,37862,13141,137.6,0.9357354811360746,0.20270270270270271,0.6166902404526167,0.019184652278177457,0.4435782691423929,0.019184652278177457,0.09259187244798756,10,44690
screen,75x110,75,110,103,37862,13141,76.6,0.9595370839668863,0.1986455981941309,0.5486307837582625,0.044444444444444446,0.43781447759093106,0.044444444444444446,0.10612490594431905,2,44690
screen,75x110,75,110,104,37862,13141,99.3,0.9202347315800913,0.25098039215686274,0.39523599470666076,0.004,0.39261277961090374,0.004,0.10279215686274511,5,44690
screen,75x110,75,110,105,37862,13141,168.0,0.9594457587022642,0.2,0.5353195579048534,0.0,0.42369132915177943,0.0,0.08000000000000002,14,44690
screen,75x120,75,120,100,37861,13141,130.0,0.9729133472239245,0.3193612774451098,0.6645569620253164,0.05,0.5017078966735876,0.05,0.15774451097804393,9,44689
screen,75x120,75,120,101,37861,13141,122.0,0.9010969250134868,0.2438095238095238,0.6708268330733229,0.010062893081761006,0.4564490437445236,0.010062893081761006,0.10356154537286613,8,44689
screen,75x120,75,120,102,37861,13141,99.3,0.9569045023895364,0.2171664943123061,0.6972477064220184,0.18181818181818182,0.5132842212355107,0.18181818181818182,0.19595750681583152,5,44689
screen,75x120,75,120,103,37861,13141,160.1,0.9174727668845316,0.24282560706401765,0.3564998199495859,0.0,0.3791995484745338,0.0,0.09713024282560706,13,44689
screen,75x120,75,120,104,37861,13141,84.1,0.9027777777777778,0.2029520295202952,0.30361757105943155,0.2222222222222222,0.40789240014493167,0.2029520295202952,0.21451414514145142,3,44689
screen,75x120,75,120,105,37861,13141,68.9,0.7738306690349319,0.23788546255506607,0.40704845814977975,0.00182370820668693,0.3551470744866162,0.00182370820668693,0.0962484099460386,1,44689
screen,80x120,80,120,100,37860,13141,85.9,0.9394160270977147,0.2809364548494983,0.482646420824295,0.015473887814313346,0.42961819764645526,0.015473887814313346,0.12165891462838734,3,44688
screen,80x120,80,120,101,37860,13141,70.2,0.9655986646582257,0.0706401766004415,0.5755517826825127,0.022727272727272728,0.40862947416711315,0.022727272727272728,0.041892434276540234,1,44688
screen,80x120,80,120,102,37860,13141,162.8,0.8696930711266311,0.2627118644067797,0.529923273657289,0.007651841224294596,0.41749501260374855,0.007651841224294596,0.10967585049728863,13,44688
screen,80x120,80,120,103,37860,13141,77.7,0.9212275989608559,0.21810699588477367,0.5303030303030303,0.03943661971830986,0.4272685612167424,0.03943661971830986,0.11090477018489539,2,44688
screen,80x120,80,120,104,37860,13141,109.0,0.8742635304864125,0.2608695652173913,0.3399615137908916,0.020172910662824207,0.37381688003937985,0.020172910662824207,0.11645157248465106,6,44688
screen,80x120,80,120,105,37860,13141,155.4,0.9357272963830341,0.18552036199095023,0.4549050632911392,0.047244094488188976,0.40584920403832814,0.047244094488188976,0.10255460148929348,12,44688
screen,80x130,80,130,100,37858,13141,204.2,0.9247898795598302,0.16475972540045766,0.5528134254689042,0.0027137042062415195,0.4112691836588584,0.0027137042062415195,0.06753211268392798,18,44686
screen,80x130,80,130,101,37858,13141,134.1,0.9351594264926172,0.15714285714285714,0.5090702947845805,0.002728512960436562,0.4010252728451229,0.002728512960436562,0.0644942506334048,9,44686
screen,80x130,80,130,102,37858,13141,70.9,0.8687140471330488,0.15270413573700956,0.354389721627409,0.2127659574468085,0.397143465486069,0.15270413573700956,0.18874122876288893,1,44686
screen,80x130,80,130,103,37858,13141,94.6,0.8682199097522793,0.1875,0.2859941234084231,0.3125,0.41355350829017556,0.1875,0.2625,4,44686
screen,80x130,80,130,104,37858,13141,102.4,0.8358394789771094,0.2732919254658385,0.29686472264854197,0.02247191011235955,0.35711700930096235,0.02247191011235955,0.12279991625375114,5,44686
screen,80x130,80,130,105,37858,13141,125.7,0.9151426155831442,0.2457627118644068,0.42521711161145065,0.07017543859649122,0.4140744694138732,0.07017543859649122,0.14041034790365745,8,44686
screen,80x140,80,140,100,37858,13141,99.0,0.902154119475905,0.2039911308203991,0.3302238805970149,0.1,0.38409228272332974,0.1,0.14159645232815965,4,44686
screen,80x140,80,140,101,37858,13141,114.8,0.9702537903757416,0.21880998080614203,0.6209850107066381,0.18181818181818182,0.4979667409266759,0.18181818181818182,0.1966149014133659,6,44686
screen,80x140,80,140,102,37858,13141,156.2,0.9615814994405073,0.2440087145969499,0.6744989633724948,0.048582995951417005,0.48216804334034224,0.048582995951417005,0.12675328340963016,11,44686
screen,80x140,80,140,103,37858,13141,99.1,0.911136503471917,0.15137614678899083,0.36436436436436437,0.08421052631578947,0.37777188523526545,0.08421052631578947,0.11107677450507002,4,44686
screen,80x140,80,140,104,37858,13141,82.4,0.8038960412748927,0.0640176600441501,0.6500377928949358,0.050335570469798654,0.39207176617094436,0.050335570469798654,0.05580840629953923,2,44686
screen,80x140,80,140,105,37858,13141,115.5,0.8707792207792208,0.22972972972972974,0.34005037783375314,0.032467532467532464,0.36825671520255904,0.032467532467532464,0.11137241137241137,6,44686
screen,85x137,85,137,100,37857,13141,91.0,0.9250397315910295,0.2549450549450549,0.45725515886013757,0.03278688524590164,0.4175067076605309,0.03278688524590164,0.12165015312556296,3,44684
screen,85x137,85,137,101,37857,13141,99.5,0.8274949179785374,0.23504273504273504,0.6930983847283406,0.008487420430433464,0.44103086454501167,0.008487420430433464,0.0991095462753541,4,44684
screen,85x137,85,137,102,37857,13141,91.0,0.9254293913564912,0.22077922077922077,0.6520376175548589,0.005012531328320802,0.45081469025472287,0.005012531328320802,0.0913192071086808,3,44684
screen,85x137,85,137,103,37857,13141,156.1,0.9181306793595846,0.24946236559139784,0.6018322762508809,0.004658385093167702,0.44352092657375775,0.004658385093167702,0.10257997729245977,11,44684
screen,85x137,85,137,104,37857,13141,106.5,0.7940907559790193,0.22121896162528218,0.5514469453376206,0.0068169900367068695,0.3933934132446572,0.0068169900367068695,0.092577778672137,5,44684
screen,85x137,85,137,105,37857,13141,73.9,0.8952041043943788,0.2345132743362832,0.31266846361185985,0.10526315789473684,0.3869122500593146,0.10526315789473684,0.15696320447135537,1,44684
screen,85x144,85,144,100,37855,13141,82.6,0.9398234595145136,0.08163265306122448,0.6646971935007385,0.04878048780487805,0.4337334484703387,0.04878048780487805,0.06192135390741662,2,44682
screen,85x144,85,144,101,37855,13141,90.2,0.8517011834319527,0.21709006928406466,0.4407443682664055,0.006436781609195402,0.3789931006479046,0.006436781609195402,0.09069809667914311,3,44682
screen,85x144,85,144,102,37855,13141,90.4,0.8691506595695441,0.23552894211576847,0.3603905160390516,0.01353637901861252,0.3696516241857442,0.01353637901861252,0.1023334042574749,3,44682
screen,85x144,85,144,103,37855,13141,115.7,0.9699881907399113,0.18439716312056736,0.6184538653366584,0.1414141414141414,0.47856334015281965,0.1414141414141414,0.15860735009671179,6,44682
screen,85x144,85,144,104,37855,13141,107.1,0.9206404913358193,0.1792452830188679,0.38220757825370677,0.14285714285714285,0.4062376238663842,0.14285714285714285,0.15741239892183287,5,44682
screen,85x144,85,144,105,37855,13141,114.6,0.885200179937022,0.248868778280543,0.2713810818978543,0.053156146179401995,0.3646515465737053,0.053156146179401995,0.1314411990198584,6,44682
screen,90x140,90,140,100,37856,13141,90.4,0.9143033292231812,0.3022774327122153,0.48580441640378547,0.016055045871559634,0.42961005605268543,0.016055045871559634,0.1305440006078219,3,44683
screen,90x140,90,140,101,37856,13141,163.9,0.9320113314447592,0.23225806451612904,0.639378969654199,0.0018148820326678765,0.4513658119119388,0.0018148820326678765,0.09399215502605235,12,44683
screen,90x140,90,140,102,37856,13141,73.8,0.934250107434465,0.19089574155653452,0.482899438489025,0.0,0.40201132187000616,0.0,0.07635829662261381,1,44683
screen,90x140,90,140,103,37856,13141,74.3,0.930488644184446,0.0850253807106599,0.686046511627907,0.04878048780487805,0.43758525608197274,0.04878048780487805,0.06327844496719079,1,44683
screen,90x140,90,140,104,37856,13141,81.8,0.8934779648708755,0.2465753424657534,0.5851110143665651,0.003963011889035667,0.4322818333980575,0.003963011889035667,0.10100794411972276,2,44683
screen,90x140,90,140,105,37856,13141,115.1,0.9678304239401496,0.23024830699774265,0.599290780141844,0.11494252873563218,0.4780780099538421,0.11494252873563218,0.1610648400404764,6,44683
screen,90x144,90,144,100,37854,13141,108.2,0.8872328082466866,0.3117338003502627,0.5507031828275352,0.011276268580215274,0.44023651500117494,0.011276268580215274,0.13145928128823425,5,44681
screen,90x144,90,144,101,37854,13141,141.3,0.8798096349840614,0.228310502283105,0.5485544848035582,0.010801080108010801,0.41686892554468385,0.010801080108010801,0.09780484897804849,9,44681
screen,90x144,90,144,102,37854,13141,108.5,0.8437573866591027,0.25957446808510637,0.43422387554954345,0.010575793184488837,0.3870328808695603,0.010575793184488837,0.11017526314473586,5,44681
screen,90x144,90,144,103,37854,13141,99.6,0.9524525151325401,0.17411764705882352,0.5082508250825083,0.03617571059431524,0.4177491744670468,0.03617571059431524,0.09135248518011856,4,44681
