metric,representation_a,representation_b,n_pairs,mean_a,mean_b,mean_diff_a_minus_b,CI95_low,CI95_high,cohens_dz,p_ttest,p_wilcoxon,p_ttest_holm,p_wilcoxon_holm
Macro_F1,RAW_1D_65x110,DWT_T7,10,0.2987378490386404,0.36494979916722975,-0.06621195012858937,-0.08231640170903402,-0.05010749854814471,-2.9411231762127583,6.520421278166049e-06,0.001953125,6.520421278166049e-05,0.01953125
Macro_F1,RAW_1D_65x110,SWT_T0,10,0.2987378490386404,0.36187121698875896,-0.06313336795011859,-0.08338189141056221,-0.04288484448967497,-2.230428843349885,5.9647243228182055e-05,0.001953125,0.00041753070259727436,0.01953125
Macro_F1,STFT_T29,CWT_T39,10,0.40330170594024545,0.3761124131175865,0.027189292822659007,0.008593072546936992,0.045785513098381025,1.0459140675495768,0.009120610465584444,0.005859375,0.04560305232792222,0.029296875
Macro_F1,STFT_T29,DWT_T7,10,0.40330170594024545,0.36494979916722975,0.038351906773015684,0.017152188268491717,0.059551625277539655,1.2941351726931252,0.002707238630678774,0.001953125,0.016243431784072643,0.01953125
Macro_F1,STFT_T29,SWT_T0,10,0.40330170594024545,0.36187121698875896,0.041430488951486454,0.012555120318834219,0.07030585758413868,1.0263968147719267,0.010065561875553129,0.009765625,0.04560305232792222,0.0390625
Macro_F1,CWT_T39,DWT_T7,10,0.3761124131175865,0.36494979916722975,0.01116261395035668,0.0005316949970910357,0.021793532903622327,0.7511347808569735,0.04154673494209926,0.048828125,0.12464020482629778,0.146484375
Macro_F1,CWT_T39,SWT_T0,10,0.3761124131175865,0.36187121698875896,0.01424119612882745,-0.006119636332226321,0.03460202858988122,0.5003497779267064,0.14805288963654833,0.16015625,0.29610577927309667,0.3203125
Macro_F1,DWT_T7,SWT_T0,10,0.36494979916722975,0.36187121698875896,0.003078582178470768,-0.014130796252856808,0.020287960609798344,0.12797005021475386,0.6951640573119698,0.845703125,0.6951640573119698,0.845703125
Min_Rare_F1,RAW_1D_65x110,STFT_T29,10,0.01078211681247426,0.054863220043821395,-0.04408110323134714,-0.080536653998109,-0.007625552464585274,-0.8649909535554129,0.02302240327340474,0.01953125,0.13845697744262636,0.15625
Min_Rare_F1,RAW_1D_65x110,CWT_T39,10,0.01078211681247426,0.025661190548625878,-0.014879073736151622,-0.046927489668519756,0.01716934219621651,-0.3321177612749267,0.3209857790916662,0.4609375,0.807198344881175,0.921875
Min_Rare_F1,RAW_1D_65x110,DWT_T7,10,0.01078211681247426,0.00034482758620689,0.01043728922626737,-0.0021493162050597765,0.023023894657594517,0.593200999947513,0.09342047320830428,0.015625,0.3736818928332171,0.140625
Min_Rare_F1,RAW_1D_65x110,SWT_T0,10,0.01078211681247426,0.05835476936982444,-0.04757265255735019,-0.08562363627953945,-0.009521668835160924,-0.8943638827197795,0.01977956820608948,0.0546875,0.13845697744262636,0.2734375
Min_Rare_F1,STFT_T29,CWT_T39,10,0.054863220043821395,0.025661190548625878,0.029202029495195524,0.009840846826316366,0.04856321216407468,1.078956478306532,0.007725607825875274,0.01953125,0.06953047043287747,0.15625
Min_Rare_F1,STFT_T29,DWT_T7,10,0.054863220043821395,0.00034482758620689,0.05451839245761451,0.023662452619978375,0.08537433229525064,1.2639416836160438,0.0031248485711150137,0.001953125,0.031248485711150138,0.01953125
Min_Rare_F1,STFT_T29,SWT_T0,10,0.054863220043821395,0.05835476936982444,-0.003491549326003042,-0.0644108979024734,0.057427799250467315,-0.04100017451466855,0.899691674327431,0.845703125,0.899691674327431,0.921875
Min_Rare_F1,CWT_T39,DWT_T7,10,0.025661190548625878,0.00034482758620689,0.025316362962418987,-0.0014404346550905,0.052073160579928474,0.6768461360197537,0.06098400243787528,0.125,0.3049200121893764,0.5
Min_Rare_F1,CWT_T39,SWT_T0,10,0.025661190548625878,0.05835476936982444,-0.03269357882119857,-0.09548482525006743,0.030097667607670298,-0.37246556998533903,0.2690661149603917,0.232421875,0.807198344881175,0.697265625
Min_Rare_F1,DWT_T7,SWT_T0,10,0.00034482758620689,0.05835476936982444,-0.05800994178361755,-0.0973099223218474,-0.018709961245387693,-1.0559245043524776,0.008672215003720798,0.03125,0.06953047043287747,0.1875
