representation_id,method,source_trial,role,seed,train_subset_seed,n_train,n_val,Macro_F1,Rare_Macro_SF,Min_Rare_F1,F1_N,F1_S,F1_V,F1_F,Precision_N,Precision_S,Precision_V,Precision_F,Recall_N,Recall_S,Recall_V,Recall_F,best_epoch,time_s,n_parameters,cm_json,config_json
STFT_T29,STFT,29,confirmed_method_winner,2001,20260810,4958,13142,0.3623438583929831,0.1392627464355756,0.01160092807424594,0.8499039947548354,0.26692456479690524,0.32094594594594594,0.01160092807424594,0.9701699989308243,0.5111111111111111,0.20284697508896798,0.005924170616113744,0.7561666666666667,0.1806282722513089,0.7681940700808625,0.2777777777777778,11,87.21722054481506,90372,"[[9074,63,2039,824],[104,69,199,10],[164,3,570,5],[11,0,2,5]]","{""method"": ""STFT"", ""image_size"": [128, 128], ""norm_type"": ""sqrt"", ""clip_pct"": 5, ""nperseg"": 64, ""window"": ""hamming"", ""noverlap_pct"": 0.25, ""nfft"": 64}"
STFT_T29,STFT,29,confirmed_method_winner,2002,20260810,4958,13142,0.4204889276302501,0.17983193277310924,0.05714285714285714,0.9287386215864759,0.3025210084033613,0.39355322338830584,0.05714285714285714,0.967750677506775,0.7659574468085106,0.27258566978193144,0.038461538461538464,0.89275,0.18848167539267016,0.7075471698113207,0.1111111111111111,9,77.954585313797,90372,"[[10713,14,1227,46],[135,72,174,1],[207,7,525,3],[15,1,0,2]]","{""method"": ""STFT"", ""image_size"": [128, 128], ""norm_type"": ""sqrt"", ""clip_pct"": 5, ""nperseg"": 64, ""window"": ""hamming"", ""noverlap_pct"": 0.25, ""nfft"": 64}"
STFT_T29,STFT,29,confirmed_method_winner,2003,20260810,4958,13142,0.3572423166620584,0.10388829861446494,0.021164021164021163,0.8813651382790929,0.18661257606490872,0.3398275311402108,0.021164021164021163,0.9646289507579511,0.4144144144144144,0.22268731686898283,0.01092896174863388,0.8113333333333334,0.12041884816753927,0.7169811320754716,0.3333333333333333,11,87.25147485733032,90372,"[[9736,49,1687,528],[158,46,168,10],[189,16,532,5],[10,0,2,6]]","{""method"": ""STFT"", ""image_size"": [128, 128], ""norm_type"": ""sqrt"", ""clip_pct"": 5, ""nperseg"": 64, ""window"": ""hamming"", ""noverlap_pct"": 0.25, ""nfft"": 64}"
STFT_T29,STFT,29,confirmed_method_winner,2004,20260810,4958,13142,0.37685967423916733,0.14624716704439408,0.1386481802426343,0.8875259312708578,0.1386481802426343,0.3274184315970235,0.15384615384615385,0.9671712207587969,0.20512820512820512,0.20784883720930233,0.14285714285714285,0.82,0.10471204188481675,0.77088948787062,0.16666666666666666,11,87.24329376220703,90372,"[[9840,155,1994,11],[159,40,183,0],[163,0,572,7],[12,0,3,3]]","{""method"": ""STFT"", ""image_size"": [128, 128], ""norm_type"": ""sqrt"", ""clip_pct"": 5, ""nperseg"": 64, ""window"": ""hamming"", ""noverlap_pct"": 0.25, ""nfft"": 64}"
STFT_T29,STFT,29,confirmed_method_winner,2005,20260810,4958,13142,0.4541618420111299,0.25259764884338265,0.044444444444444446,0.9238288129623107,0.46075085324232085,0.38762325739544373,0.044444444444444446,0.9793689320388349,0.6617647058823529,0.2592087312414734,0.037037037037037035,0.87425,0.35340314136125656,0.7681940700808625,0.05555555555555555,26,137.3984818458557,90372,"[[10491,46,1438,25],[58,135,189,0],[149,22,570,1],[14,1,2,1]]","{""method"": ""STFT"", ""image_size"": [128, 128], ""norm_type"": ""sqrt"", ""clip_pct"": 5, ""nperseg"": 64, ""window"": ""hamming"", ""noverlap_pct"": 0.25, ""nfft"": 64}"
STFT_T29,STFT,29,confirmed_method_winner,2006,20260810,4958,13142,0.41091857539316784,0.22171945701357468,0.058823529411764705,0.8835510092245867,0.38461538461538464,0.31668437832093516,0.058823529411764705,0.9773691654879774,0.7246376811594203,0.1972203838517538,0.03571428571428571,0.8061666666666667,0.2617801047120419,0.8032345013477089,0.16666666666666666,19,123.80607676506042,90372,"[[9674,34,2214,78],[76,100,206,0],[139,4,596,3],[9,0,6,3]]","{""method"": ""STFT"", ""image_size"": [128, 128], ""norm_type"": ""sqrt"", ""clip_pct"": 5, ""nperseg"": 64, ""window"": ""hamming"", ""noverlap_pct"": 0.25, ""nfft"": 64}"
STFT_T29,STFT,29,confirmed_method_winner,2007,20260810,4958,13142,0.4146454333753745,0.22728023452661134,0.12345679012345678,0.8853549621798961,0.3311036789297659,0.31866630226837933,0.12345679012345678,0.9767745827468329,0.4583333333333333,0.1998628728145355,0.07936507936507936,0.8095833333333333,0.2591623036649215,0.7857142857142857,0.2777777777777778,14,100.7724883556366,90372,"[[9715,107,2133,45],[86,99,196,1],[137,10,583,12],[8,0,5,5]]","{""method"": ""STFT"", ""image_size"": [128, 128], ""norm_type"": ""sqrt"", ""clip_pct"": 5, ""nperseg"": 64, ""window"": ""hamming"", ""noverlap_pct"": 0.25, ""nfft"": 64}"
STFT_T29,STFT,29,confirmed_method_winner,2008,20260810,4958,13142,0.4015070655566813,0.20592010579952547,0.0425531914893617,0.8836784964875467,0.3692870201096892,0.3105095541401274,0.0425531914893617,0.9762144728885306,0.6121212121212121,0.19332452081956378,0.034482758620689655,0.8071666666666667,0.2643979057591623,0.7884097035040432,0.05555555555555555,13,96.27922248840332,90372,"[[9686,52,2234,28],[76,101,205,0],[146,11,585,0],[14,1,2,1]]","{""method"": ""STFT"", ""image_size"": [128, 128], ""norm_type"": ""sqrt"", ""clip_pct"": 5, ""nperseg"": 64, ""window"": ""hamming"", ""noverlap_pct"": 0.25, ""nfft"": 64}"
STFT_T29,STFT,29,confirmed_method_winner,2009,20260810,4958,13142,0.3929241007046669,0.19057214386029186,0.025157232704402517,0.8790544255085212,0.3559870550161812,0.31149768958956237,0.025157232704402517,0.9761904761904762,0.4661016949152542,0.195097037793667,0.014184397163120567,0.7995,0.2879581151832461,0.7722371967654986,0.1111111111111111,15,105.52952098846436,90372,"[[9594,114,2156,136],[66,110,205,1],[155,12,573,2],[13,0,3,2]]","{""method"": ""STFT"", ""image_size"": [128, 128], ""norm_type"": ""sqrt"", ""clip_pct"": 5, ""nperseg"": 64, ""window"": ""hamming"", ""noverlap_pct"": 0.25, ""nfft"": 64}"
CWT_T39,CWT,39,confirmed_method_winner,2000,20260810,4958,13142,0.3768562052283773,0.10569105691056911,0.0,0.9155889549108703,0.21138211382113822,0.38045375218150085,0.0,0.9623438648052902,0.4727272727272727,0.2567121997173811,0.0,0.8731666666666666,0.13612565445026178,0.7345013477088949,0.0,4,43.424741983413696,90372,"[[10478,51,1453,18],[220,52,108,2],[189,7,545,1],[1,0,17,0]]","{""method"": ""CWT"", ""image_size"": [128, 160], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""gaus8"", ""scale_min"": 2.0, ""scale_max"": 130.0, ""scale_type"": ""logarithmic"", ""num_scales"": 80}"
