representation,architecture_candidate_id,config_id,family,config_json,seed,method_data_seed,wgan_pool_seed,wgan_quality_attempt,n_parameters,n_train_samples,train_class_counts_json,fixed_epochs,train_loss_final,time_s,confusion_json,Accuracy,Weighted_F1,Macro_F1,Rare_Macro_SF,Min_Rare_F1,Rare_HMean_SF,F1_N,F1_S,F1_V,F1_F,Precision_N,Precision_S,Precision_V,Precision_F,Recall_N,Recall_S,Recall_V,Recall_F
RAW_1D,BILSTM1D_T24_BOTH,FOCAL_A025_G3,focal,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",7100,,,,328228,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",12,0.01146692250584459,134.56332540512085,"[[42612, 479, 877, 280], [404, 188, 1236, 9], [500, 213, 2483, 24], [375, 4, 7, 2]]",0.9112953534703077,0.9072643727433949,0.4363991167728264,0.07193719571134995,0.005689900426742532,0.010929755969943172,0.9669272399278412,0.13818449099595737,0.6347948357407645,0.005689900426742532,0.970859629536807,0.21266968325791855,0.5394308059960895,0.006349206349206349,0.9630265774724281,0.10234077299945564,0.7711180124223602,0.005154639175257732
RAW_1D,BILSTM1D_T24_BOTH,FOCAL_A025_G3,focal,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",7101,,,,328228,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",12,0.013424411569022337,134.37102341651917,"[[40323, 313, 2027, 1585], [481, 224, 1126, 6], [490, 385, 2319, 26], [372, 2, 9, 5]]",0.8627170828889381,0.876405881346442,0.4097400557649201,0.08361758754218765,0.004975124378109453,0.009654236119341873,0.9386828689154271,0.16226005070626584,0.5330421790598782,0.004975124378109453,0.9677674842797485,0.24242424242424243,0.42309797482211275,0.0030826140567200987,0.9112954257819562,0.12193794229722374,0.7201863354037267,0.01288659793814433
RAW_1D,BILSTM1D_T24_BOTH,FOCAL_A025_G3,focal,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",7102,,,,328228,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",12,0.01068678560025214,134.33894324302673,"[[41615, 536, 1455, 642], [946, 588, 302, 1], [478, 94, 2633, 15], [373, 2, 8, 5]]",0.9023604934296581,0.9045156067251302,0.5087317516828764,0.19710281063224053,0.009514747859181731,0.018570190107583935,0.9494638375541866,0.38469087340529934,0.691257547912838,0.009514747859181731,0.9586059154150925,0.4819672131147541,0.598681218735789,0.007541478129713424,0.940494485626469,0.3200870985302123,0.8177018633540373,0.01288659793814433
RAW_1D,BILSTM1D_T24_BOTH,FOCAL_A025_G3,focal,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",7103,,,,328228,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",12,0.011692759539536756,134.22054839134216,"[[40177, 555, 3294, 222], [256, 178, 1403, 0], [369, 436, 2410, 5], [334, 3, 49, 2]]",0.8606242327893264,0.8724968821102851,0.3826044795227895,0.06239735682202448,0.006482982171799027,0.012292393218466213,0.9410896655111027,0.11831173147224992,0.4645335389360062,0.006482982171799027,0.9766870867366784,0.15187713310580206,0.3367803242034656,0.008733624454148471,0.9079958416199603,0.09689711486118671,0.7484472049689441,0.005154639175257732
RAW_1D,BILSTM1D_T24_BOTH,FOCAL_A025_G3,focal,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",7104,,,,328228,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",12,0.009651350799361956,134.3216552734375,"[[42714, 191, 647, 696], [303, 163, 1354, 17], [299, 138, 2737, 46], [370, 4, 4, 10]]",0.9181172398526956,0.9149013190364693,0.4540093463280396,0.07851016622574677,0.01728608470181504,0.030766181737534273,0.971501353287693,0.13973424774967852,0.6875156995729717,0.01728608470181504,0.9777503090234858,0.3286290322580645,0.5771826233656685,0.013003901170351105,0.9653317664075213,0.08873162765378334,0.85,0.02577319587628866
RAW_1D,BILSTM1D_T24_BOTH,FOCAL_A025_G3,focal,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",7105,,,,328228,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",12,0.011673984727708312,134.24258637428284,"[[41649, 786, 1101, 712], [457, 182, 1186, 12], [514, 281, 2400, 25], [374, 4, 5, 5]]",0.8901857404463406,0.8939073546857861,0.4220054360388312,0.06327796008818912,0.008756567425569177,0.01630137845172732,0.9547924164966415,0.11779935275080906,0.6066734074823054,0.008756567425569177,0.9687165651021072,0.1452513966480447,0.5115089514066496,0.006631299734748011,0.9412628819381667,0.09907457811649428,0.7453416149068323,0.01288659793814433
RAW_1D,BILSTM1D_T24_BOTH,FOCAL_A025_G3,focal,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",7106,,,,328228,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",12,0.01137219714976548,134.28082394599915,"[[38230, 796, 2753, 2469], [346, 270, 1200, 21], [293, 471, 2428, 28], [371, 2, 9, 6]]",0.8237377497836718,0.8541592208976551,0.3963001738247897,0.0820367428779751,0.004120879120879121,0.008034757766932507,0.9158202376389422,0.15995260663507108,0.5053069719042664,0.004120879120879121,0.9742609582059123,0.17543859649122806,0.37996870109546166,0.002377179080824089,0.8639938528295065,0.14697876973326074,0.7540372670807454,0.015463917525773196
RAW_1D,BILSTM1D_T24_BOTH,FOCAL_A025_G3,focal,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",7107,,,,328228,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",12,0.014470947890380606,134.2749261856079,"[[40527, 168, 2633, 920], [547, 178, 1097, 15], [382, 222, 2596, 20], [372, 2, 9, 5]]",0.8714708309017367,0.8792116238105294,0.41008924753735765,0.07766017513212577,0.00741839762611276,0.014128161473773607,0.9416562107904642,0.14790195263813877,0.5433804290947148,0.00741839762611276,0.96889643301138,0.312280701754386,0.4097868981846882,0.005208333333333333,0.9159058036521425,0.09689711486118671,0.8062111801242235,0.01288659793814433
RAW_1D,BILSTM1D_T24_BOTH,FOCAL_A025_G3,focal,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",7108,,,,328228,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",12,0.011440968555205476,134.38178372383118,"[[43232, 474, 414, 128], [766, 250, 817, 4], [456, 225, 2510, 29], [362, 13, 7, 6]]",0.9256434507878373,0.9178885877361452,0.4728751594582487,0.10012842424417988,0.021621621621621623,0.03857429409041815,0.9708075092068624,0.17863522686673813,0.7204362801377727,0.021621621621621623,0.964655480185648,0.2598752598752599,0.6696905016008537,0.03592814371257485,0.977038510215151,0.1360914534567229,0.7795031055900621,0.015463917525773196
RAW_1D,BILSTM1D_T24_BOTH,FOCAL_A025_G3,focal,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",7109,,,,328228,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",12,0.012402031477883988,134.18675088882446,"[[41493, 308, 1763, 684], [497, 182, 1150, 8], [525, 800, 1805, 90], [359, 3, 9, 17]]",0.875314430603908,0.8821131098607466,0.3879308451230155,0.07246878456979364,0.02864363942712721,0.045965741112151064,0.952526342370469,0.11629392971246007,0.4542594689820058,0.02864363942712721,0.9677893361944302,0.14075792730085074,0.3818489528242014,0.02127659574468085,0.9377372988609655,0.09907457811649428,0.5605590062111802,0.04381443298969072
