representation,config_id,role,seed,record_id,n_beats,confusion_json,Accuracy,Support_N,Predicted_N,TP_N,FP_N,FN_N,Precision_N,Recall_N,F1_N,Support_S,Predicted_S,TP_S,FP_S,FN_S,Precision_S,Recall_S,F1_S,Support_V,Predicted_V,TP_V,FP_V,FN_V,Precision_V,Recall_V,F1_V,Support_F,Predicted_F,TP_F,FP_F,FN_F,Precision_F,Recall_F,F1_F,Macro_F1_present_classes,Rare_Macro_present_classes,Min_Rare_present_classes
RAW_1D,BASELINE_CE,baseline,7102,200,2600,"[[1737, 5, 0, 0], [8, 22, 0, 0], [27, 37, 761, 1], [1, 1, 0, 0]]",0.9692307692307692,1742,1773,1737,36,5,0.9796954314720813,0.9971297359357061,0.9883357041251778,30,65,22,43,8,0.3384615384615385,0.7333333333333333,0.4631578947368421,826,761,761,0,65,1.0,0.9213075060532687,0.9590422180214241,2,1,0,1,2,0.0,0.0,0.0,0.602633954220861,0.23157894736842105,0.0
RAW_1D,BASELINE_CE,baseline,7102,202,2136,"[[1966, 93, 1, 1], [27, 26, 2, 0], [1, 0, 18, 0], [1, 0, 0, 0]]",0.9410112359550562,2061,1995,1966,29,95,0.9854636591478697,0.9539058709364386,0.9694280078895463,55,119,26,93,29,0.2184873949579832,0.4727272727272727,0.2988505747126437,19,21,18,3,1,0.8571428571428571,0.9473684210526315,0.9,1,1,0,1,1,0.0,0.0,0.0,0.5420696456505475,0.14942528735632185,0.0
RAW_1D,BASELINE_CE,baseline,7102,210,2648,"[[2400, 8, 11, 2], [11, 4, 7, 0], [31, 20, 144, 0], [8, 0, 2, 0]]",0.9622356495468278,2421,2450,2400,50,21,0.9795918367346939,0.9913258983890955,0.9854239375898173,22,32,4,28,18,0.125,0.18181818181818182,0.14814814814814814,195,164,144,20,51,0.8780487804878049,0.7384615384615385,0.8022284122562674,10,2,0,2,10,0.0,0.0,0.0,0.48395012449855823,0.07407407407407407,0.0
RAW_1D,BASELINE_CE,baseline,7102,212,2747,"[[2747, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",1.0,2747,2747,2747,0,0,1.0,1.0,1.0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,1.0,,
RAW_1D,BASELINE_CE,baseline,7102,213,3250,"[[2586, 47, 7, 0], [25, 1, 2, 0], [118, 0, 98, 4], [355, 3, 4, 0]]",0.8261538461538461,2640,3084,2586,498,54,0.8385214007782101,0.9795454545454545,0.9035639412997903,28,51,1,50,27,0.0196078431372549,0.03571428571428571,0.02531645569620253,220,111,98,13,122,0.8828828828828829,0.44545454545454544,0.5921450151057401,362,4,0,4,362,0.0,0.0,0.0,0.38025635302543326,0.012658227848101266,0.0
RAW_1D,BASELINE_CE,baseline,7102,214,2258,"[[1717, 1, 242, 41], [0, 0, 0, 0], [3, 56, 197, 0], [0, 1, 0, 0]]",0.8476527900797166,2001,1720,1717,3,284,0.9982558139534884,0.8580709645177411,0.9228701961838216,0,58,0,58,0,0.0,,,256,439,197,242,59,0.44874715261959,0.76953125,0.5669064748201439,1,41,0,41,1,0.0,0.0,0.0,0.4965922236679885,0.0,0.0
RAW_1D,BASELINE_CE,baseline,7102,219,2154,"[[1435, 3, 644, 0], [5, 0, 2, 0], [0, 8, 56, 0], [0, 1, 0, 0]]",0.692200557103064,2082,1440,1435,5,647,0.9965277777777778,0.6892411143131604,0.814877910278251,7,12,0,12,7,0.0,0.0,0.0,64,702,56,646,8,0.07977207977207977,0.875,0.1462140992167102,1,0,0,0,1,,0.0,0.0,0.24027300237374027,0.0,0.0
RAW_1D,BASELINE_CE,baseline,7102,221,2427,"[[1887, 144, 0, 0], [0, 0, 0, 0], [1, 0, 395, 0], [0, 0, 0, 0]]",0.9402554594149155,2031,1888,1887,1,144,0.9994703389830508,0.9290989660265879,0.9630007655014035,0,144,0,144,0,0.0,,,396,395,395,0,1,1.0,0.9974747474747475,0.9987357774968394,0,0,0,0,0,,,,0.9808682714991215,,
RAW_1D,BASELINE_CE,baseline,7102,222,2483,"[[2037, 81, 147, 9], [73, 82, 54, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",0.8534031413612565,2274,2110,2037,73,237,0.9654028436018958,0.895778364116095,0.9292883211678832,209,163,82,81,127,0.5030674846625767,0.3923444976076555,0.44086021505376344,0,201,0,201,0,0.0,,,0,9,0,9,0,0.0,,,0.6850742681108233,0.44086021505376344,0.44086021505376344
RAW_1D,BASELINE_CE,baseline,7102,228,2053,"[[1687, 0, 1, 0], [2, 1, 0, 0], [5, 40, 317, 0], [0, 0, 0, 0]]",0.976619581100828,1688,1694,1687,7,1,0.9958677685950413,0.9994075829383886,0.9976345357776464,3,41,1,40,2,0.024390243902439025,0.3333333333333333,0.045454545454545456,362,318,317,1,45,0.9968553459119497,0.8756906077348067,0.9323529411764706,0,0,0,0,0,,,,0.6584806741362208,0.045454545454545456,0.045454545454545456
