representation,config_id,role,record_id,n_seeds,n_beats,Accuracy_mean,Macro_F1_present_classes_mean,Rare_Macro_present_classes_mean,Min_Rare_present_classes_mean,Precision_N_mean,Recall_N_mean,F1_N_mean,Precision_S_mean,Recall_S_mean,F1_S_mean,Precision_V_mean,Recall_V_mean,F1_V_mean,Precision_F_mean,Recall_F_mean,F1_F_mean,Accuracy_std,Macro_F1_present_classes_std,Rare_Macro_present_classes_std,Min_Rare_present_classes_std,Precision_N_std,Recall_N_std,F1_N_std,Precision_S_std,Recall_S_std,F1_S_std,Precision_V_std,Recall_V_std,F1_V_std,Precision_F_std,Recall_F_std,F1_F_std,Support_N,Support_S,Support_V,Support_F
RAW_1D,BASELINE_CE,baseline,212,10,2747,0.9911175828176193,0.9954359984690508,,,1.0,0.9911175828176193,0.9954359984690508,0.0,,,0.0,,,0.0,,,0.02097975819607424,0.010859632353036292,,,0.0,0.02097975819607424,0.010859632353036292,0.0,,,0.0,,,,,,2747,0,0,0
RAW_1D,BASELINE_CE,baseline,221,10,2427,0.9602801812937785,0.9870650966055485,,,0.9998440688221507,0.9528311176760218,0.9756437617436184,0.0,,,0.9984930793130449,0.9984848484848484,0.9984864314674786,0.0,,,0.01945458887875371,0.006184437958756189,,,0.000251111179285951,0.023153295705286823,0.012050611568622844,0.0,,,0.003171321094368851,0.001765671461565913,0.0019499103642947142,0.0,,,2031,0,396,0
RAW_1D,FOCAL_A025_G3,selected_on_DS1,213,10,3250,0.8274461538461539,0.40093930998438776,0.07928169996559149,0.01031293364633867,0.8466549799364135,0.9805681818181817,0.9085685644733752,0.21410887961144714,0.13214285714285715,0.14423290625822272,0.7523191027982836,0.4268181818181819,0.5366252755329928,0.08723227450436426,0.008011049723756904,0.014330493672960288,0.028439973350113407,0.06015361674720434,0.09185505274987155,0.01865988023708706,0.010366772122647831,0.030827247101563128,0.01781212467835896,0.2449196458947637,0.14290673742307267,0.17867964368795103,0.18412025772145443,0.07909177986284843,0.09578065917052564,0.07135886454760453,0.010694885751922366,0.018226364763343047,2640,28,220,362
RAW_1D,FOCAL_A025_G3,selected_on_DS1,233,10,3077,0.6606434839129022,0.37429874388218487,0.07026198161181164,0.042531350234335165,0.8522404125004597,0.6653207716464783,0.7146765168078585,0.0635695945216376,0.21428571428571427,0.08493386500756346,0.6756541943832006,0.6566265060240963,0.6419944954972576,0.033927640589146435,0.3,0.05559009821605983,0.2397953039972111,0.13274536677127047,0.08311512834287371,0.05662402887223834,0.0788519289044265,0.3166554376108203,0.2573273097747206,0.09930421409803272,0.21560440805089084,0.11880381390762458,0.2842167966899509,0.13235719520352188,0.19409033767972045,0.03278241372686589,0.09630453686103456,0.04982978806722545,2229,7,830,11
RAW_1D,FOCAL_A025_G3,selected_on_DS1,210,10,2648,0.8729229607250755,0.445579035364569,0.06850560861530927,0.0007905138339920949,0.9795257338200797,0.890458488228005,0.9312749879557225,0.11656931544997173,0.30454545454545456,0.13622070339662645,0.7006645477815462,0.7635897435897436,0.7140299362719349,0.000411522633744856,0.01,0.0007905138339920949,0.06999338209731369,0.054035767024942116,0.043765982033649384,0.0024998242372872566,0.002734366471464826,0.07490088765447808,0.04410842086917127,0.08066274780053918,0.24057056451394912,0.08819172868450655,0.20993435319763445,0.0730636765122062,0.14856766396044277,0.0013013488313450123,0.03162277660168379,0.0024998242372872566,2421,22,195,10
RAW_1D,FOCAL_A025_G3,selected_on_DS1,200,10,2600,0.9291538461538462,0.5399337878751778,0.14895529013889175,0.0,0.9685150046813945,0.9902985074626866,0.9792577342196976,0.20765097491377635,0.64,0.2979105802777835,0.9978448221988891,0.812953995157385,0.88256683700323,0.0,0.0,0.0,0.06058416046848607,0.07081352426493012,0.08506125158988143,0.0,0.008535746196214574,0.007378557658272471,0.0058108162910718636,0.12811320145504257,0.2581032428130598,0.17012250317976285,0.003094930774482371,0.1899970118698564,0.14460467266488608,0.0,0.0,0.0,1742,30,826,2
RAW_1D,FOCAL_A025_G3,selected_on_DS1,202,10,2136,0.9344569288389513,0.4888551521834346,0.20916634928715977,0.0,0.9905703789396044,0.9473556525958273,0.9678736901754597,0.46682220558275656,0.46545454545454545,0.41833269857431954,0.4219145257685156,0.9421052631578947,0.5692142199839593,0.0,0.0,0.0,0.04737751640536091,0.06977535145821756,0.07485462531605734,0.0,0.002447683836945355,0.04912781892914799,0.02656024347094455,0.27449539081099844,0.10220704961858323,0.14970925063211468,0.14939249879100167,0.016643566632465138,0.1466551663543563,0.0,0.0,0.0,2061,55,19,1
RAW_1D,FOCAL_A025_G3,selected_on_DS1,219,10,2154,0.747585886722377,0.29447514108141115,0.003654873164218958,0.0,0.9963495817718181,0.7462055715658021,0.8422093638047006,0.0040408163265306125,0.04285714285714286,0.007309746328437916,0.23846137506519813,0.88125,0.3283814541925062,0.0,0.0,0.0,0.17054948711453066,0.08728399816523545,0.007707658989345984,0.0,0.0013789650905195777,0.17668193167410776,0.12297634970477106,0.008519332016171135,0.09642122253007898,0.015415317978691967,0.2324886907436131,0.034704856768661835,0.2418377916676275,0.0,0.0,0.0,2082,7,64,1
RAW_1D,FOCAL_A025_G3,selected_on_DS1,214,10,2258,0.6534986713906111,0.39863899273233316,0.0,0.0,0.9914046425203793,0.6448275862068966,0.748793424388442,0.0,,,0.3744187862301465,0.723828125,0.4471235538085575,0.0,0.0,0.0,0.24600824335698468,0.14124962075444572,0.0,0.0,0.015138763617194136,0.2741932041102229,0.22260813083153694,0.0,,,0.283586879164702,0.06733294375467436,0.21529369224477365,0.0,0.0,0.0,2001,0,256,1
RAW_1D,FOCAL_A025_G3,selected_on_DS1,232,10,1780,0.2492696629213483,0.38807764014752255,0.05713157734321147,0.05713157734321147,0.5766545574288736,0.9944723618090453,0.7190237029518336,1.0,0.03465991316931983,0.05713157734321147,0.0,,,,,,0.06654138061328821,0.05386255927882111,0.13286725143617528,0.13286725143617528,0.15413630918972815,0.005401847737553495,0.12560743743670832,0.0,0.0853783578566989,0.13286725143617528,0.0,,,,,,398,1382,0,0
RAW_1D,FOCAL_A025_G3,selected_on_DS1,222,10,2483,0.8307289569069674,0.697912332128541,0.48194063627934314,0.48194063627934314,0.9706989634464283,0.8644239226033422,0.9138840279777389,0.5214675167440826,0.46411483253588515,0.48194063627934314,0.0,,,0.0,,,0.03623953931923363,0.030538819577402593,0.04948040158505905,0.04948040158505905,0.011213379709351967,0.04076530064155235,0.020539915830371177,0.08125257373897732,0.09184165900406999,0.04948040158505905,0.0,,,0.0,,,2274,209,0,0
RAW_1D,FOCAL_A025_G3,selected_on_DS1,234,10,2753,0.9770795495822739,0.7487622935394935,0.2565801333751059,0.2565801333751059,0.9872909592940623,0.9921851851851852,0.9897067472433749,0.8762021475256769,0.16,0.2565801333751059,1.0,1.0,1.0,0.0,,,0.011536900582261731,0.06087238674510506,0.1786135553572247,0.1786135553572247,0.002000477776261376,0.01013617087795303,0.005063141379733628,0.16291924624736429,0.11962905629950907,0.1786135553572247,0.0,0.0,0.0,0.0,,,2700,50,3,0
RAW_1D,FOCAL_A025_G3,selected_on_DS1,100,10,2272,0.9974471830985916,0.8804353987142532,0.8914492502478424,0.8914492502478424,0.9981745217979121,0.9999553172475425,0.9990632951012662,0.9969696969696968,0.8272727272727274,0.8914492502478424,0.6958333333333333,1.0,0.7507936507936508,,,,0.0027195496738811184,0.15002478818395198,0.13384047792688794,0.13384047792688794,0.0018762911041966905,0.00014129926989133623,0.0009256820829877342,0.00958265957626781,0.18953866524241253,0.13384047792688794,0.3977415020702967,0.0,0.33234926548069593,,,,2238,33,1,0
RAW_1D,FOCAL_A025_G3,selected_on_DS1,113,10,1794,0.9909141583054627,0.5386863100064525,0.08038461538461539,0.08038461538461539,1.0,0.9940156599552573,0.9969880046282897,0.2857142857142857,0.06666666666666667,0.08038461538461539,0.0,,,,,,0.0068725075879386794,0.07103723592928522,0.14202964289499923,0.14202964289499923,0.0,0.0069006081059024985,0.0034821332820665555,0.25421614885788835,0.11653431646335018,0.14202964289499923,0.0,,,,,,1788,6,0,0
RAW_1D,FOCAL_A025_G3,selected_on_DS1,228,10,2053,0.9647832440331223,0.669824308186165,0.14148148148148149,0.14148148148148149,0.9771411980217317,0.9995260663507108,0.9881025979524255,0.10785714285714285,0.3,0.14148148148148149,0.9971069919204251,0.8082872928176796,0.8798888451245881,0.0,,,0.03393916826815453,0.09373032432956399,0.17694248211017227,0.17694248211017227,0.020849526294527278,0.00046730488018164646,0.010684288030083408,0.1485380592698393,0.3314763086705844,0.17694248211017227,0.002443596236643296,0.19133454546591802,0.13721876185486856,,,,1688,3,362,0
RAW_1D,FOCAL_A025_G3,selected_on_DS1,103,10,2084,0.9994241842610364,0.7998559423769508,0.6,0.6,0.9994719155064811,0.9999519692603267,0.9997118847539015,1.0,0.45,0.6,,,,0.0,,,0.0003034815412829329,0.10548518037280354,0.21081851067789195,0.21081851067789195,0.00015181361786691393,0.00015188653507051443,0.00015185006771513453,0.0,0.15811388300841897,0.21081851067789195,,,,,,,2082,2,0,0
RAW_1D,FOCAL_A025_G3,selected_on_DS1,117,10,1534,0.9992177314211211,0.5499510603588906,0.1,0.1,1.0,0.9998043052837573,0.9999021207177814,1.0,0.1,0.1,0.0,,,,,,0.0004122917418733073,0.15813109734454406,0.31622776601683794,0.31622776601683794,0.0,0.00031509842892348656,0.00015760061714183577,,0.31622776601683794,0.31622776601683794,0.0,,,,,,1533,1,0,0
