representation,config_id,role,record_id,n_seeds,n_beats,Accuracy_mean,Macro_F1_present_classes_mean,Rare_Macro_present_classes_mean,Min_Rare_present_classes_mean,Precision_N_mean,Recall_N_mean,F1_N_mean,Precision_S_mean,Recall_S_mean,F1_S_mean,Precision_V_mean,Recall_V_mean,F1_V_mean,Precision_F_mean,Recall_F_mean,F1_F_mean,Accuracy_std,Macro_F1_present_classes_std,Rare_Macro_present_classes_std,Min_Rare_present_classes_std,Precision_N_std,Recall_N_std,F1_N_std,Precision_S_std,Recall_S_std,F1_S_std,Precision_V_std,Recall_V_std,F1_V_std,Precision_F_std,Recall_F_std,F1_F_std,Support_N,Support_S,Support_V,Support_F
RAW_1D,FOCAL_A025_G3,selected_on_DS1,200,10,2600,0.9291538461538462,0.5399337878751778,0.14895529013889175,0.0,0.9685150046813945,0.9902985074626866,0.9792577342196976,0.20765097491377635,0.64,0.2979105802777835,0.9978448221988891,0.812953995157385,0.88256683700323,0.0,0.0,0.0,0.06058416046848607,0.07081352426493012,0.08506125158988143,0.0,0.008535746196214574,0.007378557658272471,0.0058108162910718636,0.12811320145504257,0.2581032428130598,0.17012250317976285,0.003094930774482371,0.1899970118698564,0.14460467266488608,0.0,0.0,0.0,1742,30,826,2
RAW_1D,FOCAL_A025_G3,selected_on_DS1,202,10,2136,0.9344569288389513,0.4888551521834346,0.20916634928715977,0.0,0.9905703789396044,0.9473556525958273,0.9678736901754597,0.46682220558275656,0.46545454545454545,0.41833269857431954,0.4219145257685156,0.9421052631578947,0.5692142199839593,0.0,0.0,0.0,0.04737751640536091,0.06977535145821756,0.07485462531605734,0.0,0.002447683836945355,0.04912781892914799,0.02656024347094455,0.27449539081099844,0.10220704961858323,0.14970925063211468,0.14939249879100167,0.016643566632465138,0.1466551663543563,0.0,0.0,0.0,2061,55,19,1
RAW_1D,FOCAL_A025_G3,selected_on_DS1,219,10,2154,0.747585886722377,0.29447514108141115,0.003654873164218958,0.0,0.9963495817718181,0.7462055715658021,0.8422093638047006,0.0040408163265306125,0.04285714285714286,0.007309746328437916,0.23846137506519813,0.88125,0.3283814541925062,0.0,0.0,0.0,0.17054948711453066,0.08728399816523545,0.007707658989345984,0.0,0.0013789650905195777,0.17668193167410776,0.12297634970477106,0.008519332016171135,0.09642122253007898,0.015415317978691967,0.2324886907436131,0.034704856768661835,0.2418377916676275,0.0,0.0,0.0,2082,7,64,1
RAW_1D,FOCAL_A025_G3,selected_on_DS1,214,10,2258,0.6534986713906111,0.39863899273233316,0.0,0.0,0.9914046425203793,0.6448275862068966,0.748793424388442,0.0,,,0.3744187862301465,0.723828125,0.4471235538085575,0.0,0.0,0.0,0.24600824335698468,0.14124962075444572,0.0,0.0,0.015138763617194136,0.2741932041102229,0.22260813083153694,0.0,,,0.283586879164702,0.06733294375467436,0.21529369224477365,0.0,0.0,0.0,2001,0,256,1
STFT_2D,BASELINE_CE,baseline,213,10,3250,0.862646153846154,0.4371561183806543,0.009206044889740203,0.0,0.8611068996495133,1.0,0.925349840658267,0.0,0.0,0.0,0.9115728367807456,0.7281818181818182,0.8048625430848698,0.6847282347282347,0.009392265193370166,0.018412089779480407,0.007981833416846041,0.021735060333239378,0.005071085058170171,0.0,0.00863691040936057,0.0,0.004994939149857313,0.0,0.0,0.0,0.026570696676081963,0.11148056117020853,0.07480625525778946,0.20808671834865547,0.005241344188124385,0.010142170116340343,2640,28,220,362
STFT_2D,BASELINE_CE,baseline,233,10,3077,0.5906077348066299,0.3857003623657376,0.004052202377529511,0.0,0.9912271979126842,0.44679228353521755,0.6130194604398335,0.0,0.0,0.0,0.8721520167818188,0.9844578313253012,0.921677584268058,0.00409748534726082,0.39090909090909093,0.008104404755059021,0.050829821349866994,0.015996890506712762,0.00121169431667235,0.0,0.004562734092190096,0.06930014619068119,0.06856793544380797,0.0,0.0,0.0,0.10344838769303578,0.01100504201824736,0.06157052888297775,0.001237960408892052,0.043913262867240704,0.0024233886333447,2229,7,830,11
STFT_2D,BASELINE_CE,baseline,210,10,2648,0.9402190332326285,0.47798626438258174,0.02954461645424643,0.005128205128205128,0.9796120802505077,0.9605534902932673,0.9684942977219773,0.06999999999999999,0.013636363636363636,0.02255026455026455,0.9384246979815037,0.837948717948718,0.8843615268998569,0.03615868560736243,0.05,0.03653896835822832,0.07410906726490044,0.019208047586919297,0.025653394806317835,0.016216808513683994,0.006851690766955762,0.07976661002971054,0.04726767162289185,0.12013367040689342,0.021956631433620363,0.03636827823100291,0.029261640496653255,0.04061043453100614,0.018604455412806677,0.054314414268204284,0.052704627669472995,0.047213174764532094,2421,22,195,10
STFT_2D,BASELINE_CE,baseline,200,10,2600,0.9706153846153847,0.5471947962953791,0.11787094345284,0.03768453768453768,0.963500188542044,0.9992537313432835,0.9810431550411727,0.20753968253968252,0.04,0.06359902976282286,0.9998753117206982,0.9457627118644067,0.9719941432346639,0.15555555555555556,0.25,0.17214285714285715,0.005460996722861135,0.05698967125444588,0.11164375588936366,0.05589277197009281,0.0056686042849084005,0.0005445943157580588,0.002860985413079468,0.17264869294790156,0.030631219449089385,0.04895963190248562,0.00039429896012073076,0.01699521010701711,0.008916143661273204,0.1771690968789108,0.26352313834736496,0.19420312203388942,1742,30,826,2
STFT_2D,BASELINE_CE,baseline,202,10,2136,0.9377340823970037,0.399260906989065,0.023522436673934694,0.0,0.982723270244016,0.9625909752547308,0.9724703028185211,0.5583333333333333,0.025454545454545452,0.04704487334786939,0.42715339517632167,0.9315789473684211,0.5775284517898694,0.0,0.0,0.0,0.020631146569785295,0.030373917351532137,0.03401474927625209,0.0,0.005164529511835544,0.02119817286176634,0.012627478605593625,0.4766783215358364,0.037556202145041614,0.06802949855250418,0.11483671022539797,0.035523608300555405,0.10664957318274457,0.0,0.0,0.0,2061,55,19,1
STFT_2D,BASELINE_CE,baseline,219,10,2154,0.986397400185701,0.4733644739362396,0.0020833333333333333,0.0,0.9931024238960546,0.9954370797310279,0.99426320307022,0.0024390243902439024,0.014285714285714285,0.004166666666666667,0.994439356939357,0.8140625,0.8950280260080719,0.0,0.0,0.0,0.004255226337360359,0.004655342619430718,0.0065880784586841235,0.0,0.0011831645027610771,0.004297491364543558,0.002060606300554132,0.007712872341874097,0.04517539514526256,0.013176156917368247,0.008959340575123207,0.023810686355546788,0.013453141304087722,,0.0,0.0,2082,7,64,1
